Charlotte,Boston,time_rem
30-32,33-30,48M 0S
0,0,47M 34S
0,2,47M 10S
1,2,46M 56S
2,2,46M 56S
2,5,46M 43S
5,5,46M 29S
5,7,46M 2S
8,7,45M 45S
8,9,45M 26S
8,11,44M 59S
8,13,44M 1S
8,15,43M 32S
8,17,43M 2S
10,17,42M 44S
10,19,42M 30S
13,19,42M 21S
13,21,41M 19S
14,21,41M 8S
15,21,41M 8S
15,23,40M 50S
15,26,40M 24S
17,26,40M 5S
17,29,39M 45S
17,31,37M 44S
17,33,37M 14S
19,33,36M 56S
19,36,36M 45S
19,39,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,39,35M 27S
23,39,34M 57S
23,41,33M 53S
25,41,33M 26S
28,41,32M 46S
28,43,32M 28S
30,43,32M 12S
30,44,31M 50S
31,44,31M 41S
31,47,31M 19S
32,47,31M 9S
32,49,30M 58S
32,51,29M 49S
34,51,29M 9S
35,51,27M 37S
36,51,27M 37S
36,54,27M 26S
38,54,27M 19S
39,54,27M 19S
39,56,26M 55S
40,56,26M 41S
41,56,26M 41S
41,57,26M 23S
41,58,26M 23S
43,58,26M 2S
45,58,25M 6S
47,58,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,60,23M 11S
50,60,23M 5S
50,63,22M 45S
50,65,22M 15S
52,65,22M 4S
55,65,21M 39S
55,66,21M 28S
57,66,21M 20S
58,66,21M 20S
61,66,21M 0S
62,66,20M 36S
63,66,20M 36S
63,69,20M 20S
65,69,20M 1S
65,71,19M 18S
Jump ball: T. Thompson vs. P. Washington (J. Brown gains possession),NA,19M 4S
67,71,18M 50S
67,72,18M 39S
67,73,18M 39S
69,73,18M 27S
69,74,18M 18S
69,75,18M 18S
70,75,18M 9S
70,76,17M 30S
70,79,15M 37S
70,81,14M 46S
72,81,14M 22S
73,81,13M 54S
74,81,13M 54S
74,83,13M 34S
77,83,13M 15S
77,86,12M 58S
77,87,12M 39S
77,88,12M 39S
80,88,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,91,11M 45S
83,91,11M 29S
85,91,11M 0S
87,91,10M 13S
87,93,9M 51S
89,93,9M 28S
89,94,9M 13S
90,94,8M 57S
91,94,8M 57S
91,97,8M 45S
93,97,8M 29S
93,99,7M 53S
96,99,7M 23S
96,102,7M 1S
97,102,6M 15S
98,102,6M 15S
98,105,5M 55S
98,106,4M 58S
98,108,4M 13S
98,110,3M 3S
100,110,2M 55S
101,110,2M 55S
101,111,2M 16S
101,112,2M 16S
101,114,2M 2S
103,114,1M 53S
104,114,1M 23S
105,114,1M 23S
105,116,1M 15S
105,118,42S
108,118,36S
108,119,27S
108,120,27S
111,120,23S
End of 4th quarter,NA,0S
