Atlanta,Sacramento,time_rem
22-22,19-25,48M 0S
2,0,47M 39S
2,3,47M 24S
3,3,47M 7S
3,6,46M 37S
3,8,45M 43S
5,8,44M 57S
5,10,44M 45S
7,10,44M 23S
9,10,43M 29S
12,10,43M 0S
12,12,42M 51S
12,13,42M 51S
14,13,42M 39S
14,16,42M 25S
16,16,41M 57S
16,17,40M 38S
16,18,40M 38S
17,18,40M 25S
17,21,40M 18S
19,21,40M 4S
19,23,39M 50S
19,24,39M 18S
19,27,38M 58S
21,27,38M 15S
21,29,38M 4S
22,29,37M 46S
25,29,37M 41S
27,29,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,29,35M 25S
29,31,34M 47S
31,31,34M 30S
31,33,33M 48S
33,33,33M 26S
33,35,32M 47S
33,37,32M 23S
35,37,32M 0S
36,37,31M 43S
37,37,31M 43S
37,40,31M 28S
37,42,31M 10S
39,42,30M 26S
39,44,30M 12S
41,44,29M 22S
43,44,29M 6S
43,45,28M 48S
43,46,28M 48S
43,49,28M 26S
43,50,28M 5S
43,51,28M 5S
44,51,27M 47S
45,51,27M 47S
45,53,27M 23S
46,53,27M 17S
47,53,27M 17S
47,55,27M 0S
49,55,26M 21S
51,55,25M 55S
51,57,25M 41S
53,57,25M 19S
54,57,24M 54S
55,57,24M 54S
57,57,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,58,22M 58S
57,59,22M 58S
59,59,22M 45S
61,59,22M 22S
61,61,21M 56S
61,63,21M 16S
61,65,20M 33S
63,65,20M 6S
63,67,19M 17S
66,67,19M 1S
66,69,18M 36S
68,69,18M 29S
68,72,18M 17S
70,72,18M 3S
70,74,17M 50S
72,74,17M 32S
73,74,17M 6S
74,74,17M 6S
74,77,16M 30S
74,79,15M 51S
74,81,13M 46S
74,82,13M 21S
74,83,13M 21S
74,85,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,85,11M 44S
76,85,11M 44S
76,87,11M 31S
79,87,10M 46S
80,87,10M 19S
81,87,10M 19S
83,87,9M 43S
83,89,9M 29S
85,89,8M 49S
85,90,8M 33S
85,91,8M 33S
87,91,8M 19S
87,93,7M 59S
89,93,7M 27S
91,93,7M 1S
94,93,6M 31S
94,94,5M 39S
94,97,4M 58S
94,98,4M 58S
94,100,4M 24S
96,100,4M 9S
97,100,3M 33S
99,100,3M 5S
99,102,2M 42S
101,102,2M 29S
101,103,2M 13S
101,104,2M 13S
102,104,2M 12S
102,106,1M 54S
105,106,1M 18S
105,108,1M 0S
108,108,53S
108,109,36S
108,110,36S
End of 4th quarter,NA,0S
