Utah,Milwaukee,time_rem
5-4,5-4,48M 0S
0,2,47M 47S
0,4,46M 51S
0,5,46M 51S
2,5,46M 37S
5,5,46M 13S
8,5,45M 46S
11,5,45M 24S
11,7,44M 49S
11,8,44M 49S
11,10,44M 25S
14,10,44M 8S
14,12,43M 59S
14,14,43M 37S
17,14,43M 23S
20,14,42M 58S
23,14,41M 56S
23,16,41M 38S
23,18,41M 12S
23,20,40M 49S
23,22,40M 7S
26,22,39M 50S
26,24,39M 35S
26,26,38M 57S
29,26,38M 20S
29,29,38M 2S
30,29,37M 3S
31,29,37M 3S
31,31,36M 45S
33,31,36M 31S
34,31,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,31,35M 37S
38,31,34M 35S
38,34,34M 14S
40,34,33M 53S
40,35,33M 40S
40,36,33M 40S
42,36,33M 26S
44,36,32M 56S
44,39,32M 31S
44,42,31M 59S
44,44,31M 36S
47,44,31M 7S
47,47,30M 54S
50,47,29M 57S
53,47,29M 20S
53,48,29M 1S
55,48,27M 57S
55,50,27M 12S
58,50,26M 50S
58,53,26M 30S
61,53,25M 50S
63,53,25M 30S
64,53,25M 30S
65,53,25M 11S
65,55,24M 57S
65,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,58,23M 27S
70,58,23M 4S
70,61,22M 39S
72,61,21M 52S
72,64,21M 42S
73,64,21M 30S
73,67,21M 13S
75,67,20M 59S
75,69,20M 36S
77,69,20M 26S
77,71,19M 49S
77,73,19M 22S
79,73,18M 58S
79,75,18M 48S
82,75,18M 31S
82,77,18M 9S
85,77,17M 48S
85,78,17M 46S
87,78,17M 14S
87,81,16M 58S
87,84,16M 12S
90,84,15M 55S
93,84,15M 16S
93,86,15M 7S
95,86,15M 1S
97,86,14M 33S
97,88,14M 4S
97,90,13M 48S
99,90,13M 38S
99,91,13M 28S
99,92,13M 28S
101,92,13M 5S
101,94,12M 53S
104,94,12M 39S
104,96,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
107,96,11M 30S
109,96,8M 46S
111,96,8M 10S
114,96,7M 51S
116,96,7M 18S
116,98,6M 47S
116,100,5M 7S
116,102,4M 35S
119,102,3M 55S
122,102,3M 22S
122,105,3M 12S
122,106,2M 41S
122,107,2M 41S
122,108,2M 41S
122,109,2M 9S
122,110,2M 9S
125,110,1M 44S
125,112,1M 28S
126,112,1M 15S
127,112,1M 15S
127,114,1M 6S
129,114,53S
129,115,53S
129,116,53S
131,116,27S
131,117,15S
131,118,15S
End of 4th quarter,NA,0S
