Dallas,Boston,time_rem
25-21,23-25,48M 0S
0,0,47M 39S
2,0,47M 17S
2,2,46M 49S
4,2,46M 36S
7,2,46M 1S
7,5,44M 54S
9,5,44M 40S
11,5,44M 16S
11,7,43M 22S
14,7,42M 20S
14,9,41M 47S
14,11,41M 21S
17,11,40M 58S
17,14,40M 45S
17,16,40M 13S
20,16,39M 55S
22,16,39M 21S
23,16,38M 56S
24,16,38M 56S
26,16,38M 34S
26,17,37M 38S
26,18,37M 38S
29,18,37M 22S
29,21,37M 11S
29,23,36M 44S
29,25,36M 23S
30,25,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,25,34M 28S
33,26,34M 9S
33,27,34M 9S
33,30,33M 44S
34,30,33M 12S
35,30,33M 12S
35,32,32M 54S
38,32,32M 36S
41,32,32M 11S
41,34,31M 8S
43,34,30M 57S
45,34,30M 34S
45,35,29M 49S
47,35,28M 49S
47,36,28M 4S
47,37,28M 4S
50,37,27M 48S
53,37,27M 21S
56,37,26M 56S
56,38,26M 51S
56,39,26M 51S
58,39,26M 42S
61,39,26M 5S
61,41,25M 53S
61,43,25M 32S
64,43,25M 10S
64,45,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,45,23M 43S
66,46,22M 44S
66,47,22M 44S
66,49,22M 14S
67,49,21M 57S
68,49,21M 13S
69,49,21M 13S
69,50,21M 4S
69,51,21M 4S
72,51,20M 10S
74,51,19M 52S
74,54,19M 39S
74,57,19M 10S
74,59,18M 33S
75,59,18M 19S
75,61,18M 1S
76,61,17M 11S
78,61,16M 43S
81,61,16M 4S
81,64,15M 47S
81,65,15M 21S
81,67,14M 19S
83,67,14M 4S
83,69,13M 34S
86,69,13M 10S
86,71,12M 57S
87,71,12M 33S
87,73,12M 27S
90,73,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,75,11M 48S
90,77,11M 24S
92,77,11M 2S
92,79,10M 47S
94,79,10M 35S
94,80,10M 20S
94,81,10M 20S
96,81,10M 8S
96,84,9M 49S
96,86,9M 13S
96,87,9M 13S
98,87,8M 52S
98,90,7M 16S
98,91,6M 52S
101,91,6M 30S
101,93,5M 11S
101,95,3M 46S
104,95,2M 53S
104,98,2M 40S
105,98,56S
106,98,56S
106,100,51S
108,100,36S
108,102,31S
109,102,30S
109,105,25S
109,107,16S
110,107,11S
111,107,11S
111,108,5S
112,108,4S
113,108,4S
End of 4th quarter,NA,0S
