Houston,Oklahoma City,time_rem
10-9,8-11,48M 0S
0,2,47M 47S
3,2,47M 3S
3,4,46M 8S
Jump ball: A. Horford vs. J. Tate (S. Gilgeous,Alexander gains possession),45M 26S
6,4,44M 47S
8,4,44M 13S
10,4,43M 46S
13,4,43M 9S
15,4,42M 23S
18,4,42M 5S
21,4,41M 44S
21,6,41M 26S
24,6,40M 54S
24,8,40M 37S
27,8,40M 27S
27,11,40M 2S
27,14,39M 36S
29,14,39M 21S
29,16,38M 57S
31,16,38M 51S
31,18,38M 34S
34,18,38M 12S
37,18,37M 53S
38,18,37M 53S
38,19,37M 44S
38,20,37M 4S
38,21,37M 4S
41,21,36M 57S
43,21,36M 40S
44,21,36M 40S
44,23,36M 34S
44,24,36M 34S
47,24,36M 26S
48,24,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
50,24,35M 48S
50,25,35M 25S
50,27,34M 9S
50,29,33M 48S
52,29,33M 19S
52,32,33M 2S
54,32,32M 44S
54,34,32M 27S
56,34,32M 1S
56,36,31M 41S
59,36,30M 48S
61,36,30M 5S
61,38,29M 50S
61,39,29M 28S
61,40,29M 28S
61,42,28M 44S
61,45,28M 25S
63,45,28M 5S
63,47,27M 35S
66,47,26M 53S
66,49,25M 30S
66,51,25M 7S
67,51,25M 1S
68,51,25M 1S
71,51,24M 42S
71,54,24M 30S
73,54,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,54,23M 46S
78,54,23M 16S
78,56,22M 57S
80,56,21M 59S
80,58,21M 16S
Jump ball: T. Maledon vs. J. Tate (L. Dort gains possession),NA,20M 51S
80,61,20M 39S
80,63,19M 5S
82,63,18M 50S
84,63,17M 57S
86,63,16M 58S
86,66,16M 36S
89,66,16M 19S
92,66,15M 56S
95,66,15M 29S
95,69,15M 6S
97,69,14M 28S
97,71,14M 10S
100,71,13M 26S
102,71,12M 48S
102,74,12M 33S
102,76,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,78,11M 25S
105,78,11M 11S
105,80,10M 55S
108,80,10M 37S
108,83,9M 43S
111,83,9M 29S
112,83,8M 51S
113,83,8M 51S
114,83,8M 51S
114,84,8M 9S
114,85,7M 46S
114,86,7M 46S
114,89,7M 4S
117,89,6M 50S
117,91,6M 10S
120,91,5M 47S
120,94,5M 35S
123,94,5M 13S
123,95,5M 3S
123,96,4M 37S
123,97,4M 37S
124,97,4M 23S
125,97,4M 23S
127,97,3M 38S
127,98,3M 22S
127,99,3M 22S
130,99,3M 7S
133,99,2M 25S
133,101,2M 8S
136,101,1M 45S
136,104,1M 16S
136,106,36S
End of 4th quarter,NA,0S
