New York,Brooklyn,time_rem
20-20,27-13,48M 0S
0,0,47M 41S
3,0,47M 34S
3,1,46M 50S
5,1,46M 37S
5,4,46M 20S
5,6,45M 46S
6,6,45M 33S
7,6,45M 33S
10,6,45M 14S
10,8,45M 1S
13,8,44M 47S
13,11,44M 29S
Jump ball: J. Randle vs. D. Jordan (R. Bullock gains possession),NA,44M 4S
16,11,43M 44S
18,11,43M 1S
18,12,42M 46S
18,14,42M 24S
18,16,41M 52S
18,18,41M 25S
18,19,40M 44S
21,19,40M 27S
21,21,40M 13S
23,21,39M 22S
23,24,39M 4S
26,24,38M 40S
26,26,38M 22S
26,28,37M 49S
26,30,37M 16S
28,30,36M 50S
28,32,36M 38S
28,35,36M 7S
30,35,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,37,35M 45S
30,40,35M 9S
30,42,34M 41S
30,43,33M 45S
30,44,33M 45S
30,45,33M 45S
32,45,33M 11S
32,47,32M 46S
32,49,32M 23S
33,49,32M 10S
34,49,32M 10S
36,49,31M 38S
39,49,30M 24S
39,52,30M 13S
41,52,29M 39S
41,54,29M 9S
41,55,28M 46S
41,56,28M 46S
42,56,28M 33S
43,56,28M 33S
43,58,28M 12S
44,58,27M 52S
44,60,27M 41S
44,61,27M 41S
47,61,27M 17S
47,63,27M 3S
47,65,26M 41S
49,65,26M 19S
49,66,25M 52S
49,67,25M 52S
50,67,25M 13S
51,67,25M 13S
53,67,24M 46S
54,67,24M 17S
55,67,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,69,23M 46S
55,72,23M 20S
58,72,23M 7S
58,74,22M 49S
61,74,22M 22S
64,74,22M 4S
64,77,20M 51S
64,79,19M 48S
66,79,19M 32S
66,81,19M 13S
68,81,18M 56S
69,81,18M 17S
69,83,18M 2S
70,83,17M 26S
71,83,17M 26S
72,83,17M 26S
72,86,17M 15S
74,86,16M 29S
74,89,16M 19S
74,91,15M 41S
75,91,15M 27S
76,91,15M 27S
76,94,14M 50S
79,94,14M 32S
79,96,13M 18S
81,96,12M 38S
82,96,12M 38S
84,96,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,96,10M 57S
86,96,10M 57S
89,96,10M 27S
89,98,10M 8S
91,98,9M 13S
91,101,8M 59S
93,101,8M 37S
93,103,8M 13S
94,103,7M 54S
94,105,7M 24S
95,105,7M 12S
96,105,7M 12S
96,107,6M 47S
98,107,6M 31S
101,107,5M 37S
103,107,4M 29S
103,108,3M 48S
103,110,2M 44S
105,110,2M 25S
105,112,2M 3S
108,112,1M 47S
108,113,1M 37S
108,114,28S
108,115,28S
110,115,22S
Jump ball: J. Randle vs. J. Harden (R. Barrett gains possession),NA,10S
112,115,10S
Jump ball: J. Randle vs. J. Green (A. Burks gains possession),NA,5S
112,116,0S
112,117,0S
End of 4th quarter,NA,0S
