Utah,LA Clippers,time_rem
24-6,22-9,48M 0S
0,0,47M 36S
3,0,47M 15S
3,2,46M 50S
5,2,46M 32S
7,2,45M 54S
7,4,45M 41S
7,6,45M 15S
7,9,43M 59S
7,12,43M 28S
9,12,43M 9S
9,14,42M 54S
11,14,42M 7S
11,16,41M 30S
12,16,40M 31S
13,16,40M 31S
13,18,40M 16S
15,18,40M 3S
15,20,39M 44S
17,20,39M 27S
17,22,39M 2S
18,22,38M 42S
19,22,38M 42S
19,25,38M 27S
21,25,37M 45S
21,27,37M 24S
23,27,37M 13S
23,29,36M 32S
23,31,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,32,34M 23S
26,32,34M 7S
26,35,33M 53S
28,35,33M 38S
28,38,33M 21S
28,40,31M 54S
31,40,31M 41S
31,42,31M 25S
33,42,31M 12S
33,45,30M 44S
33,47,30M 24S
35,47,29M 42S
38,47,28M 49S
38,49,28M 27S
38,51,27M 57S
40,51,27M 39S
40,53,27M 18S
40,55,26M 34S
42,55,26M 22S
44,55,25M 45S
44,57,25M 33S
47,57,24M 53S
49,57,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,59,23M 37S
50,59,22M 56S
51,59,22M 56S
54,59,22M 29S
56,59,21M 5S
56,61,20M 45S
59,61,20M 0S
61,61,18M 46S
61,63,18M 28S
64,63,18M 12S
67,63,17M 55S
67,65,17M 32S
67,67,16M 46S
69,67,16M 24S
69,68,16M 11S
69,69,16M 11S
70,69,15M 59S
71,69,15M 59S
71,70,15M 52S
71,71,15M 52S
71,73,14M 21S
73,73,14M 7S
73,75,13M 54S
73,77,13M 26S
75,77,13M 6S
75,78,12M 2S
75,79,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,79,11M 45S
77,81,11M 24S
79,81,11M 7S
79,83,10M 55S
81,83,10M 2S
81,85,9M 37S
82,85,9M 27S
82,87,9M 10S
84,87,8M 59S
84,88,8M 41S
84,89,8M 41S
84,91,8M 24S
86,91,7M 34S
88,91,6M 32S
88,94,6M 10S
90,94,5M 52S
92,94,5M 19S
92,95,5M 7S
92,96,5M 7S
92,99,4M 43S
92,101,4M 5S
93,101,3M 52S
94,101,3M 52S
94,104,3M 40S
94,107,2M 28S
95,107,2M 19S
98,107,1M 56S
99,107,1M 23S
100,107,1M 23S
100,108,40S
102,108,35S
103,108,25S
104,108,25S
104,109,20S
104,110,20S
107,110,18S
107,111,17S
107,112,17S
110,112,13S
110,113,10S
110,114,10S
110,115,6S
110,116,6S
111,116,2S
112,116,2S
End of 4th quarter,NA,0S
