Cleveland,Oklahoma City,time_rem
19-32,20-32,48M 0S
0,3,47M 40S
0,5,47M 14S
0,7,46M 44S
1,7,46M 35S
2,7,46M 35S
3,7,45M 57S
4,7,45M 57S
4,9,45M 42S
6,9,44M 51S
6,11,44M 36S
8,11,44M 27S
8,13,44M 1S
8,14,44M 1S
8,16,43M 40S
11,16,43M 23S
11,19,43M 0S
13,19,42M 51S
16,19,42M 32S
16,21,42M 9S
19,21,41M 58S
22,21,41M 18S
22,23,40M 37S
22,24,40M 37S
25,24,40M 0S
25,27,39M 41S
25,30,39M 19S
27,30,38M 54S
29,30,38M 39S
29,32,38M 21S
32,32,37M 58S
33,32,37M 38S
34,32,37M 38S
34,35,36M 59S
36,35,36M 47S
36,38,36M 29S
38,38,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,38,35M 46S
40,40,35M 28S
42,40,35M 16S
42,42,35M 2S
42,43,34M 19S
42,44,34M 19S
44,44,34M 7S
44,46,33M 53S
46,46,33M 31S
48,46,32M 52S
48,49,32M 39S
48,51,31M 58S
51,51,31M 31S
52,51,31M 8S
53,51,31M 8S
55,51,30M 42S
56,51,30M 42S
56,53,30M 16S
58,53,29M 47S
60,53,28M 40S
60,55,27M 15S
60,57,26M 49S
61,57,26M 7S
61,59,25M 29S
61,61,24M 59S
62,61,24M 51S
63,61,24M 51S
65,61,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,61,23M 19S
69,61,21M 49S
71,61,21M 16S
73,61,20M 47S
76,61,20M 16S
76,63,20M 2S
76,65,18M 57S
Jump ball: K. Love vs. K. Williams (D. Garland gains possession),NA,18M 31S
78,65,17M 26S
80,65,17M 3S
80,67,16M 20S
82,67,15M 54S
85,67,15M 36S
85,69,14M 50S
87,69,14M 26S
87,72,13M 54S
88,72,13M 35S
89,72,13M 35S
89,74,13M 13S
91,74,12M 54S
93,74,12M 25S
93,75,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,78,11M 31S
95,78,11M 10S
96,78,11M 10S
97,78,10M 42S
98,78,10M 42S
100,78,10M 21S
100,81,10M 2S
102,81,9M 41S
102,84,9M 29S
105,84,9M 12S
107,84,8M 38S
107,86,7M 5S
110,86,6M 47S
110,89,6M 32S
112,89,6M 15S
114,89,5M 45S
115,89,5M 45S
115,92,5M 29S
115,94,5M 2S
118,94,4M 47S
118,96,4M 33S
118,98,4M 9S
120,98,3M 38S
121,98,3M 13S
122,98,3M 13S
125,98,2M 52S
127,98,2M 0S
127,99,1M 56S
127,100,1M 56S
129,100,1M 42S
129,101,1M 2S
129,102,1M 0S
End of 4th quarter,NA,0S
