Washington,Chicago,time_rem
6-15,9-14,48M 0S
0,0,47M 45S
0,2,47M 15S
2,2,47M 1S
2,4,46M 48S
2,6,45M 55S
4,6,45M 38S
4,9,45M 23S
6,9,44M 47S
6,10,44M 6S
6,11,44M 6S
8,11,43M 53S
11,11,43M 27S
11,13,43M 12S
13,13,42M 55S
15,13,42M 21S
15,14,42M 5S
15,15,42M 5S
17,15,41M 39S
17,17,41M 30S
17,19,40M 44S
19,19,40M 4S
21,19,39M 25S
23,19,38M 59S
24,19,38M 59S
24,21,38M 40S
24,23,38M 18S
24,25,36M 54S
24,27,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,27,35M 42S
27,27,35M 42S
27,28,35M 20S
27,29,35M 20S
30,29,35M 9S
30,31,34M 27S
33,31,34M 17S
34,31,34M 17S
35,31,33M 50S
36,31,33M 12S
37,31,33M 12S
39,31,32M 24S
39,34,31M 35S
42,34,31M 23S
44,34,30M 29S
44,36,30M 5S
46,36,29M 41S
46,37,29M 18S
46,38,28M 42S
46,39,28M 42S
46,41,28M 20S
48,41,28M 6S
48,42,27M 51S
50,42,27M 34S
50,44,27M 20S
52,44,26M 40S
52,46,26M 26S
54,46,25M 44S
55,46,25M 44S
55,48,25M 26S
56,48,25M 15S
57,48,25M 15S
58,48,24M 44S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,48,23M 35S
60,51,23M 8S
61,51,22M 57S
62,51,22M 57S
62,53,22M 39S
64,53,22M 28S
64,56,22M 7S
65,56,21M 59S
65,57,21M 39S
65,58,21M 39S
65,60,21M 15S
68,60,20M 50S
69,60,20M 21S
69,63,20M 7S
69,66,19M 37S
69,68,19M 16S
70,68,19M 6S
71,68,19M 6S
72,68,19M 6S
75,68,18M 58S
77,68,17M 52S
77,70,17M 39S
79,70,17M 11S
79,73,16M 40S
81,73,16M 11S
83,73,15M 28S
83,76,15M 11S
83,78,12M 47S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,79,11M 19S
83,80,11M 19S
85,80,9M 59S
87,80,9M 29S
87,81,8M 56S
87,82,8M 56S
89,82,8M 34S
89,84,8M 20S
91,84,7M 57S
92,84,7M 26S
93,84,7M 26S
93,86,7M 8S
93,88,6M 29S
93,91,5M 58S
95,91,5M 43S
96,91,5M 7S
97,91,5M 7S
99,91,4M 36S
99,93,4M 8S
99,95,3M 3S
99,96,2M 41S
99,97,2M 41S
100,97,1M 57S
101,97,1M 57S
102,97,1M 14S
102,98,1M 0S
102,99,1M 0S
102,101,29S
103,101,9S
104,101,0S
105,101,0S
End of 4th quarter,NA,0S
