Houston,Cleveland,time_rem
11-19,12-21,48M 0S
0,0,47M 32S
0,1,46M 59S
0,3,46M 19S
3,3,46M 12S
3,6,45M 5S
3,7,44M 6S
5,7,43M 52S
5,8,43M 36S
5,9,43M 36S
7,9,43M 9S
7,12,42M 49S
9,12,42M 39S
11,12,41M 47S
11,15,40M 38S
11,17,40M 6S
13,17,39M 43S
13,20,39M 16S
14,20,39M 6S
15,20,39M 6S
15,22,37M 42S
15,25,37M 4S
16,25,36M 33S
17,25,36M 33S
17,27,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,27,35M 48S
19,29,35M 26S
21,29,34M 46S
21,32,34M 20S
24,32,33M 29S
26,32,32M 16S
28,32,31M 46S
28,34,31M 27S
30,34,31M 18S
32,34,30M 49S
32,36,30M 26S
34,36,30M 6S
34,38,29M 16S
36,38,29M 11S
37,38,29M 11S
37,40,28M 53S
40,40,28M 35S
Jump ball: J. Allen vs. D. House (D. Garland gains possession),NA,28M 10S
42,40,27M 17S
42,43,26M 25S
43,43,26M 17S
43,45,25M 48S
45,45,25M 37S
45,47,25M 2S
48,47,24M 40S
48,48,24M 24S
50,48,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,50,23M 17S
50,52,22M 46S
53,52,22M 9S
53,55,21M 44S
53,58,21M 26S
55,58,21M 15S
55,61,21M 5S
57,61,20M 42S
60,61,19M 49S
60,63,19M 18S
62,63,19M 10S
63,63,19M 10S
63,65,18M 51S
65,65,18M 35S
65,67,18M 3S
65,69,17M 24S
68,69,16M 40S
68,71,15M 51S
71,71,15M 38S
71,72,15M 23S
71,73,15M 23S
71,75,15M 4S
71,77,14M 1S
71,79,13M 41S
73,79,13M 28S
74,79,12M 50S
74,82,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,82,11M 26S
76,82,11M 26S
76,84,11M 12S
77,84,10M 30S
78,84,10M 30S
80,84,9M 53S
80,86,9M 40S
80,88,9M 9S
80,89,9M 9S
83,89,8M 58S
83,92,7M 54S
83,95,6M 52S
83,97,6M 29S
83,98,5M 53S
84,98,5M 44S
85,98,5M 44S
85,101,5M 32S
87,101,5M 13S
87,103,4M 34S
89,103,4M 15S
89,106,3M 54S
91,106,3M 45S
93,106,3M 23S
93,108,3M 8S
93,111,2M 27S
93,112,2M 8S
96,112,1M 21S
End of 4th quarter,NA,0S
