Brooklyn,New Orleans,time_rem
39-19,25-33,48M 0S
0,2,47M 40S
3,2,47M 20S
3,5,47M 10S
5,5,46M 54S
8,5,46M 34S
8,8,46M 11S
8,10,45M 41S
8,12,45M 15S
8,14,44M 41S
8,16,44M 19S
8,17,43M 58S
8,18,43M 58S
8,21,43M 20S
9,21,43M 5S
10,21,42M 42S
11,21,42M 42S
11,23,42M 5S
13,23,41M 41S
15,23,41M 15S
17,23,40M 43S
19,23,40M 24S
19,25,40M 4S
21,25,38M 20S
21,27,38M 5S
23,27,37M 51S
23,29,37M 4S
26,29,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,31,35M 11S
28,31,34M 31S
28,34,33M 57S
30,34,33M 39S
30,36,33M 16S
30,38,32M 39S
31,38,32M 30S
32,38,32M 30S
34,38,31M 45S
34,39,31M 29S
34,40,31M 29S
37,40,31M 7S
37,42,30M 51S
39,42,30M 37S
39,44,30M 20S
39,46,30M 0S
39,48,29M 19S
42,48,28M 30S
42,50,28M 18S
44,50,28M 9S
45,50,28M 9S
45,52,27M 26S
46,52,26M 52S
47,52,26M 52S
48,52,26M 23S
48,54,26M 9S
50,54,25M 27S
51,54,25M 14S
52,54,25M 14S
54,54,24M 49S
54,57,24M 39S
54,59,24M 25S
57,59,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,61,23M 20S
59,61,22M 58S
59,63,21M 52S
61,63,21M 41S
63,63,21M 10S
63,65,20M 58S
66,65,20M 46S
69,65,20M 15S
71,65,19M 49S
72,65,19M 49S
75,65,19M 30S
75,67,19M 11S
77,67,18M 41S
77,69,18M 25S
78,69,17M 49S
79,69,17M 49S
79,71,17M 37S
81,71,17M 11S
83,71,16M 27S
83,73,16M 15S
85,73,16M 1S
85,76,15M 50S
87,76,15M 40S
87,78,15M 29S
87,80,15M 0S
89,80,14M 14S
89,83,13M 59S
89,85,13M 32S
89,87,12M 49S
91,87,12M 37S
91,90,12M 25S
93,90,12M 5S
93,92,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,95,11M 39S
96,95,11M 20S
96,96,10M 59S
99,96,10M 44S
99,97,10M 12S
99,98,10M 12S
101,98,9M 58S
Jump ball: B. Brown vs. N. Marshall (L. Shamet gains possession),NA,9M 24S
104,98,9M 21S
104,100,8M 58S
104,101,8M 58S
106,101,8M 42S
106,103,7M 54S
106,105,7M 19S
109,105,7M 3S
109,107,6M 52S
112,107,6M 16S
113,107,5M 42S
114,107,5M 42S
114,110,5M 30S
114,112,5M 11S
114,113,5M 11S
116,113,4M 49S
118,113,4M 28S
120,113,4M 6S
120,116,3M 46S
120,117,3M 14S
120,118,3M 14S
122,118,2M 57S
122,120,2M 38S
124,120,2M 11S
124,122,1M 49S
126,122,52S
126,123,44S
128,123,26S
128,126,17S
129,126,12S
129,127,11S
129,128,11S
130,128,10S
131,128,10S
131,129,6S
132,129,4S
133,129,1S
134,129,1S
End of 4th quarter,NA,0S
