LA Lakers,Charlotte,time_rem
34-21,27-26,48M 0S
0,0,47M 40S
2,0,47M 4S
2,2,46M 55S
2,4,45M 55S
2,6,44M 51S
2,7,44M 51S
4,7,44M 9S
4,9,43M 31S
4,11,43M 7S
6,11,42M 53S
6,13,42M 37S
7,13,41M 21S
8,13,41M 21S
10,13,40M 51S
10,15,40M 29S
11,15,40M 25S
12,15,40M 25S
12,17,40M 8S
15,17,39M 49S
18,17,39M 14S
19,17,38M 40S
20,17,38M 40S
23,17,38M 5S
23,19,37M 1S
25,19,36M 53S
25,21,36M 46S
25,22,36M 46S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,24,35M 28S
25,27,35M 7S
28,27,34M 49S
28,29,34M 31S
28,30,34M 14S
28,31,34M 14S
28,33,33M 48S
28,35,33M 28S
28,37,32M 40S
Jump ball: B. Biyombo vs. M. Harrell (M. Bridges gains possession),NA,31M 42S
31,37,31M 12S
32,37,30M 51S
34,37,30M 34S
34,39,30M 27S
34,40,30M 27S
34,41,30M 8S
36,41,29M 16S
39,41,28M 45S
39,43,28M 23S
39,45,27M 58S
39,48,26M 52S
42,48,26M 31S
44,48,25M 51S
47,48,25M 22S
47,50,25M 4S
50,50,24M 41S
52,50,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,50,23M 15S
54,52,22M 37S
56,52,22M 20S
58,52,21M 36S
58,55,21M 18S
58,56,21M 18S
61,56,21M 0S
61,59,20M 21S
61,62,19M 39S
64,62,17M 52S
64,64,17M 2S
66,64,16M 11S
68,64,14M 27S
69,64,13M 24S
70,64,13M 24S
71,64,13M 24S
72,64,13M 24S
74,64,12M 42S
74,66,12M 35S
76,66,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,69,11M 14S
76,72,10M 40S
78,72,10M 21S
78,74,10M 2S
81,74,9M 47S
81,75,9M 33S
84,75,8M 9S
86,75,7M 6S
86,76,6M 48S
86,77,6M 48S
86,78,6M 48S
86,80,5M 0S
89,80,4M 43S
89,82,3M 43S
89,83,3M 29S
89,86,3M 0S
89,88,2M 29S
92,88,2M 11S
92,91,1M 54S
95,91,45S
96,91,28S
97,91,28S
97,93,21S
98,93,15S
99,93,15S
100,93,7S
101,93,7S
End of 4th quarter,NA,0S
