Philadelphia,Cleveland,time_rem
2-1,3-0,48M 0S
0,2,47M 39S
1,2,47M 22S
2,2,47M 22S
2,4,47M 7S
5,4,46M 59S
5,6,46M 41S
7,6,45M 43S
7,8,45M 18S
9,8,44M 39S
9,10,44M 21S
12,10,43M 44S
12,12,42M 16S
14,12,42M 5S
15,12,42M 5S
15,15,41M 47S
16,15,41M 4S
17,15,41M 4S
20,15,40M 26S
20,18,39M 48S
20,21,39M 12S
20,23,38M 38S
22,23,38M 28S
24,23,38M 4S
24,25,37M 44S
24,27,37M 25S
24,29,36M 57S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,29,35M 47S
26,29,35M 47S
26,31,35M 28S
26,32,34M 56S
26,33,34M 56S
26,35,34M 46S
28,35,34M 29S
28,38,34M 18S
30,38,33M 57S
30,40,33M 29S
32,40,33M 9S
32,42,32M 48S
32,45,32M 2S
32,47,31M 45S
32,49,31M 10S
34,49,30M 7S
34,51,29M 39S
36,51,29M 27S
36,53,28M 57S
36,54,28M 57S
37,54,28M 31S
38,54,28M 31S
38,57,28M 10S
41,57,27M 58S
41,59,27M 27S
42,59,27M 12S
43,59,27M 12S
43,61,26M 33S
46,61,26M 11S
46,64,25M 44S
48,64,24M 31S
49,64,24M 3S
50,64,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,66,23M 29S
51,66,23M 16S
53,66,22M 58S
53,68,22M 35S
53,70,22M 5S
53,72,21M 50S
53,73,21M 34S
53,74,21M 34S
53,76,20M 45S
56,76,20M 21S
59,76,19M 34S
59,78,19M 10S
59,80,18M 33S
59,81,17M 41S
59,82,17M 17S
59,83,17M 17S
59,85,17M 4S
62,85,16M 46S
64,85,16M 21S
64,86,16M 4S
64,87,16M 4S
64,88,15M 33S
65,88,15M 12S
65,91,14M 35S
68,91,14M 16S
70,91,13M 0S
70,93,12M 12S
72,93,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,95,11M 42S
72,97,11M 7S
72,99,10M 29S
75,99,10M 11S
75,101,9M 50S
76,101,9M 40S
76,104,9M 28S
76,106,8M 54S
76,108,8M 30S
78,108,7M 58S
78,110,7M 30S
80,110,7M 24S
82,110,6M 45S
82,112,6M 20S
85,112,6M 8S
87,112,5M 15S
87,114,4M 22S
87,115,3M 46S
87,116,3M 46S
89,116,2M 59S
91,116,2M 33S
94,116,1M 48S
94,118,36S
End of 4th quarter,NA,0S
