Cleveland,Utah,time_rem
17-30,35-11,48M 0S
0,0,47M 46S
0,1,47M 46S
0,2,46M 40S
0,3,46M 40S
1,3,45M 13S
1,6,44M 56S
4,6,44M 33S
4,9,44M 21S
6,9,43M 58S
6,12,43M 35S
8,12,43M 13S
9,12,42M 49S
10,12,42M 49S
Jump ball: B. Bogdanović vs. L. Stevens (R. O'Neale gains possession),NA,42M 9S
10,15,42M 4S
11,15,41M 56S
11,17,41M 39S
11,19,41M 0S
11,22,40M 25S
13,22,39M 33S
15,22,39M 4S
15,25,38M 45S
15,26,36M 31S
15,27,36M 31S
18,27,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,28,35M 3S
18,31,34M 38S
18,32,33M 40S
18,33,33M 40S
18,35,33M 19S
19,35,33M 11S
20,35,33M 11S
20,38,32M 39S
20,40,32M 14S
20,42,31M 19S
20,44,29M 46S
23,44,29M 12S
26,44,28M 35S
26,46,28M 22S
28,46,28M 10S
28,48,27M 54S
Jump ball: D. Mitchell vs. D. Wade (B. Bogdanović gains possession),NA,26M 57S
30,48,26M 37S
32,48,25M 47S
32,51,25M 22S
32,53,24M 33S
34,53,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
34,55,23M 45S
34,57,23M 6S
36,57,22M 42S
36,60,22M 18S
38,60,22M 2S
38,63,21M 25S
40,63,20M 19S
40,65,19M 59S
42,65,19M 32S
42,67,19M 22S
42,70,18M 40S
44,70,18M 21S
44,72,18M 2S
46,72,17M 49S
46,73,17M 12S
48,73,16M 55S
50,73,16M 35S
52,73,15M 29S
52,75,15M 17S
52,78,14M 49S
52,81,14M 25S
52,82,13M 49S
52,85,13M 28S
52,86,13M 0S
52,87,13M 0S
52,88,12M 2S
52,89,12M 2S
52,90,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
54,90,11M 39S
54,92,10M 50S
56,92,10M 31S
56,93,10M 9S
56,94,10M 9S
59,94,9M 50S
59,97,9M 29S
61,97,9M 15S
62,97,9M 15S
64,97,8M 46S
64,99,8M 23S
66,99,7M 36S
69,99,6M 36S
69,101,5M 15S
72,101,4M 50S
72,104,3M 52S
73,104,3M 37S
73,105,2M 47S
73,106,2M 47S
73,109,2M 11S
73,111,1M 38S
73,114,53S
74,114,3S
75,114,3S
End of 4th quarter,NA,0S
