Oklahoma City,Sacramento,time_rem
21-49,31-38,48M 0S
0,0,47M 34S
0,1,47M 15S
0,2,47M 15S
2,2,46M 59S
2,4,46M 43S
2,6,46M 6S
2,8,45M 34S
5,8,45M 20S
6,8,44M 58S
7,8,44M 58S
7,10,44M 6S
10,10,43M 53S
12,10,43M 7S
13,10,42M 46S
14,10,42M 46S
16,10,42M 15S
19,10,41M 54S
19,13,41M 40S
21,13,41M 20S
23,13,40M 59S
23,14,40M 48S
23,15,40M 48S
23,18,40M 21S
25,18,39M 55S
28,18,39M 38S
28,21,38M 51S
28,22,38M 31S
28,23,38M 31S
29,23,38M 10S
30,23,38M 10S
30,25,37M 38S
31,25,37M 16S
32,25,37M 16S
32,27,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,27,35M 15S
34,30,34M 50S
36,30,34M 30S
38,30,34M 14S
40,30,33M 43S
40,33,33M 28S
43,33,33M 17S
45,33,32M 51S
47,33,32M 28S
47,36,32M 5S
49,36,31M 54S
49,38,31M 33S
51,38,31M 20S
51,40,31M 1S
51,42,30M 37S
53,42,30M 23S
55,42,29M 53S
55,43,29M 39S
55,44,29M 39S
55,47,28M 59S
57,47,28M 41S
57,49,28M 27S
57,52,28M 3S
60,52,27M 48S
60,54,27M 26S
60,57,26M 51S
61,57,26M 40S
62,57,26M 40S
62,59,26M 8S
63,59,25M 56S
64,59,25M 56S
65,59,25M 28S
65,61,24M 46S
65,62,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,64,23M 37S
67,64,23M 13S
67,66,22M 54S
67,68,21M 25S
67,71,20M 59S
70,71,20M 39S
70,72,20M 15S
70,73,20M 15S
71,73,19M 22S
71,75,19M 9S
73,75,18M 51S
73,78,18M 42S
73,79,18M 21S
75,79,17M 58S
75,81,17M 42S
76,81,17M 20S
76,83,17M 3S
77,83,16M 38S
77,86,16M 18S
77,89,15M 48S
79,89,15M 38S
79,92,15M 22S
79,95,14M 46S
79,97,14M 21S
81,97,14M 8S
81,100,13M 24S
83,100,12M 22S
83,103,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,103,11M 18S
86,105,10M 26S
86,107,9M 58S
86,110,9M 16S
86,111,8M 46S
88,111,8M 30S
88,113,8M 2S
90,113,6M 51S
90,114,6M 2S
90,115,6M 2S
90,118,5M 8S
92,118,4M 57S
94,118,4M 43S
97,118,4M 2S
99,118,3M 39S
101,118,3M 16S
102,118,1M 28S
103,118,1M 0S
104,118,1M 0S
106,118,53S
106,120,49S
106,122,21S
End of 4th quarter,NA,0S
