Golden State,Boston,time_rem
28-29,31-26,48M 0S
0,0,47M 46S
2,0,47M 43S
2,2,46M 54S
4,2,46M 30S
4,4,46M 18S
7,4,46M 5S
7,6,45M 45S
7,7,45M 45S
9,7,45M 32S
9,10,45M 2S
11,10,44M 43S
13,10,44M 23S
14,10,43M 29S
15,10,43M 29S
15,12,42M 41S
15,13,42M 14S
17,13,42M 1S
20,13,41M 18S
23,13,40M 4S
25,13,39M 15S
27,13,38M 54S
27,15,38M 28S
28,15,38M 17S
29,15,38M 17S
29,17,37M 59S
29,19,37M 37S
31,19,37M 18S
31,22,37M 3S
33,22,36M 50S
33,24,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,24,35M 24S
36,26,35M 1S
36,27,35M 1S
37,27,34M 48S
38,27,34M 48S
38,29,34M 36S
41,29,34M 19S
41,31,33M 38S
43,31,32M 59S
44,31,32M 59S
46,31,32M 34S
46,34,31M 54S
49,34,31M 25S
49,36,30M 12S
50,36,29M 55S
51,36,29M 55S
51,39,29M 36S
53,39,29M 21S
53,41,29M 12S
53,43,28M 39S
56,43,28M 24S
58,43,27M 23S
58,44,27M 12S
58,45,27M 12S
59,45,26M 27S
60,45,26M 27S
60,48,26M 5S
62,48,25M 53S
63,48,25M 53S
63,50,25M 41S
66,50,25M 29S
66,52,25M 5S
66,54,24M 49S
66,55,24M 49S
66,57,24M 28S
66,58,24M 10S
66,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,63,23M 22S
68,63,22M 54S
68,65,22M 35S
68,68,22M 4S
68,71,21M 38S
71,71,20M 49S
71,74,20M 28S
71,76,19M 38S
71,78,19M 20S
72,78,19M 6S
74,78,18M 42S
77,78,18M 10S
80,78,17M 47S
82,78,15M 18S
82,81,14M 47S
85,81,13M 56S
85,82,13M 37S
86,82,13M 26S
86,84,13M 5S
86,87,12M 39S
89,87,12M 31S
89,89,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,89,11M 48S
92,89,11M 48S
94,89,11M 24S
94,91,10M 49S
96,91,9M 29S
96,93,9M 14S
96,95,8M 35S
Jump ball: K. Looney vs. G. Williams (D. Green gains possession),NA,8M 18S
96,97,7M 52S
98,97,7M 28S
98,100,7M 12S
Jump ball: J. Tatum vs. S. Curry (M. Smart gains possession),NA,6M 54S
100,100,6M 31S
100,101,6M 9S
103,101,5M 45S
103,102,5M 0S
103,103,5M 0S
106,103,4M 47S
109,103,4M 10S
109,104,3M 40S
109,105,3M 40S
Jump ball: D. Green vs. T. Thompson (S. Curry gains possession),NA,3M 30S
109,108,3M 3S
109,111,1M 16S
111,111,57S
111,113,48S
111,116,24S
114,116,18S
114,117,13S
114,118,13S
114,119,5S
End of 4th quarter,NA,0S
