Brooklyn,New York,time_rem
7-6,5-7,48M 0S
2,0,47M 45S
2,2,47M 18S
5,2,46M 50S
8,2,45M 18S
8,4,45M 3S
10,4,43M 47S
10,6,43M 31S
10,7,42M 23S
10,8,42M 23S
10,11,41M 35S
10,14,40M 58S
13,14,40M 38S
13,16,40M 24S
13,18,39M 46S
13,20,39M 16S
15,20,39M 7S
18,20,38M 36S
20,20,38M 2S
20,22,37M 32S
22,22,37M 12S
22,25,36M 54S
25,25,36M 38S
26,25,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,27,35M 44S
28,27,35M 23S
30,27,35M 4S
33,27,34M 37S
35,27,33M 41S
35,30,33M 2S
37,30,32M 48S
37,32,32M 31S
37,33,32M 31S
39,33,32M 12S
42,33,31M 44S
42,35,31M 20S
42,37,30M 51S
42,38,30M 51S
44,38,29M 57S
44,41,29M 46S
45,41,28M 55S
46,41,28M 55S
46,43,28M 37S
48,43,28M 31S
49,43,28M 31S
52,43,27M 55S
52,45,27M 32S
54,45,26M 19S
57,45,25M 34S
59,45,24M 59S
61,45,24M 47S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,46,23M 48S
61,49,22M 34S
63,49,22M 12S
65,49,21M 34S
65,51,20M 52S
68,51,20M 34S
68,53,20M 7S
70,53,19M 57S
70,55,19M 41S
70,56,19M 24S
70,57,19M 24S
71,57,19M 14S
72,57,19M 14S
72,59,19M 0S
74,59,18M 45S
74,61,18M 27S
77,61,17M 48S
80,61,16M 45S
80,63,16M 25S
80,64,16M 25S
82,64,16M 10S
82,67,15M 53S
85,67,15M 23S
85,69,15M 4S
85,71,14M 21S
87,71,14M 7S
90,71,13M 36S
90,74,13M 8S
92,74,12M 56S
92,75,12M 45S
92,76,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,76,11M 46S
95,76,11M 46S
95,78,11M 2S
97,78,10M 45S
97,80,10M 21S
97,82,10M 3S
100,82,9M 43S
100,84,8M 40S
101,84,8M 27S
102,84,8M 27S
102,86,8M 7S
104,86,6M 48S
104,88,6M 34S
106,88,6M 19S
106,90,6M 0S
108,90,5M 46S
108,93,5M 18S
108,95,4M 49S
110,95,4M 4S
113,95,3M 40S
113,97,3M 16S
113,100,2M 52S
113,103,2M 14S
113,105,59S
114,105,39S
114,107,35S
114,109,17S
115,109,15S
116,109,15S
End of 4th quarter,NA,0S
