Milwaukee,Washington,time_rem
24-14,14-23,48M 0S
0,0,47M 54S
2,0,47M 49S
2,3,47M 42S
2,6,47M 18S
4,6,47M 5S
4,8,46M 42S
6,8,46M 12S
9,8,45M 41S
9,10,45M 30S
12,10,44M 53S
12,13,44M 24S
14,13,44M 11S
14,14,43M 44S
14,15,43M 44S
14,17,43M 19S
14,19,42M 55S
17,19,42M 34S
17,21,42M 18S
20,21,42M 0S
22,21,40M 51S
22,24,40M 15S
22,25,39M 43S
22,26,39M 43S
24,26,39M 5S
24,28,38M 28S
27,28,38M 20S
30,28,37M 46S
30,30,37M 12S
33,30,36M 55S
33,33,36M 3S
36,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,34,35M 48S
36,37,34M 55S
36,38,34M 55S
37,38,34M 41S
38,38,34M 41S
38,39,33M 59S
38,40,33M 59S
39,40,33M 30S
42,40,32M 24S
42,42,32M 6S
42,44,31M 45S
44,44,30M 27S
44,46,30M 21S
44,49,29M 59S
45,49,29M 55S
46,49,29M 55S
46,51,29M 44S
46,54,29M 16S
46,57,28M 18S
48,57,27M 33S
48,60,27M 16S
49,60,27M 3S
50,60,27M 3S
52,60,26M 35S
52,62,26M 15S
54,62,26M 3S
54,64,25M 46S
55,64,25M 15S
56,64,25M 15S
59,64,25M 13S
61,64,24M 47S
61,65,24M 33S
64,65,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,65,24M 0S
67,65,23M 39S
68,65,23M 39S
70,65,22M 52S
72,65,22M 31S
72,67,22M 20S
72,69,21M 52S
74,69,21M 36S
76,69,21M 5S
76,70,20M 50S
76,71,20M 50S
76,73,20M 33S
77,73,20M 24S
77,75,20M 11S
78,75,19M 59S
78,77,19M 46S
80,77,19M 37S
80,79,19M 25S
Jump ball: R. Hachimura vs. D. DiVincenzo (G. Mathews gains possession),NA,19M 14S
80,80,19M 9S
80,81,19M 9S
80,83,18M 53S
82,83,18M 26S
84,83,18M 7S
85,83,18M 7S
Jump ball: A. Len vs. G. Antetokounmpo (R. Hachimura gains possession),NA,17M 37S
85,86,17M 17S
85,88,16M 55S
87,88,16M 37S
87,90,16M 22S
89,90,15M 43S
89,91,13M 52S
89,92,13M 52S
92,92,13M 40S
92,93,13M 32S
92,95,12M 55S
93,95,12M 40S
94,95,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,95,11M 20S
99,95,10M 44S
99,98,10M 23S
99,99,9M 58S
102,99,9M 41S
102,101,8M 38S
104,101,8M 26S
107,101,7M 19S
109,101,5M 49S
109,104,5M 39S
109,106,5M 12S
109,109,4M 50S
112,109,4M 34S
112,111,4M 8S
115,111,3M 44S
117,111,3M 17S
117,113,2M 42S
119,113,2M 19S
119,116,1M 7S
119,119,41S
120,119,32S
121,119,32S
122,119,9S
123,119,9S
124,119,5S
125,119,5S
End of 4th quarter,NA,0S
