New York,San Antonio,time_rem
18-18,18-13,48M 0S
2,0,47M 46S
2,3,46M 47S
4,3,46M 23S
4,5,46M 6S
4,6,45M 24S
4,7,45M 24S
6,7,45M 8S
6,10,44M 21S
6,12,43M 51S
8,12,42M 33S
8,13,42M 17S
10,13,41M 33S
10,15,41M 9S
12,15,40M 38S
12,17,40M 23S
13,17,39M 29S
14,17,39M 29S
14,20,39M 14S
14,22,38M 12S
14,24,37M 36S
17,24,37M 14S
20,24,36M 38S
20,25,36M 32S
23,25,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,25,35M 0S
27,25,33M 21S
27,27,33M 3S
29,27,32M 49S
29,28,31M 42S
29,29,31M 42S
29,32,31M 6S
32,32,30M 47S
35,32,30M 21S
Jump ball: N. Noel vs. J. Poeltl (I. Quickley gains possession),NA,29M 37S
37,32,29M 18S
37,34,29M 3S
40,34,28M 19S
40,35,28M 3S
40,36,28M 3S
40,38,27M 55S
43,38,27M 14S
43,41,26M 54S
43,43,26M 24S
45,43,26M 3S
45,45,25M 33S
47,45,25M 21S
47,46,25M 5S
47,47,25M 4S
47,48,25M 4S
47,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,53,23M 37S
47,55,23M 13S
49,55,22M 56S
50,55,21M 55S
51,55,21M 55S
51,58,20M 56S
54,58,20M 38S
54,60,20M 20S
57,60,20M 0S
57,62,19M 45S
57,63,19M 15S
57,66,19M 3S
60,66,18M 46S
60,69,17M 4S
62,69,16M 48S
62,72,16M 6S
62,74,15M 8S
62,77,14M 35S
62,79,13M 54S
64,79,13M 43S
65,79,13M 43S
65,82,13M 30S
65,83,13M 10S
65,84,12M 47S
68,84,12M 20S
68,87,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,87,11M 47S
70,87,11M 47S
70,90,11M 39S
70,92,9M 51S
71,92,9M 29S
71,95,9M 4S
73,95,8M 39S
73,96,7M 52S
73,98,7M 38S
73,100,7M 13S
75,100,6M 34S
75,102,6M 13S
77,102,6M 0S
80,102,5M 13S
83,102,4M 36S
83,105,4M 13S
86,105,3M 53S
86,107,3M 19S
86,109,3M 3S
89,109,2M 38S
89,111,2M 15S
90,111,2M 4S
91,111,2M 4S
91,113,1M 49S
92,113,1M 40S
93,113,1M 40S
93,116,1M 21S
93,119,17S
End of 4th quarter,NA,0S
