LA Clippers,Phoenix,time_rem
0-1,1-0,48M 0S
0,0,47M 39S
0,2,47M 36S
2,2,47M 11S
4,2,46M 34S
7,2,46M 3S
7,4,45M 47S
7,6,45M 18S
7,8,44M 57S
9,8,44M 33S
9,10,43M 42S
12,10,43M 11S
14,10,42M 35S
14,13,42M 16S
15,13,41M 53S
16,13,41M 53S
16,16,40M 37S
19,16,39M 43S
19,18,39M 16S
21,18,38M 40S
21,21,38M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,21,35M 43S
23,24,35M 25S
26,24,35M 5S
26,26,34M 41S
28,26,34M 21S
28,29,34M 12S
29,29,33M 58S
30,29,33M 58S
30,31,33M 46S
30,32,33M 10S
30,33,33M 10S
30,35,32M 53S
32,35,32M 15S
34,35,31M 49S
37,35,31M 17S
40,35,30M 48S
40,37,30M 30S
40,39,29M 54S
40,41,29M 26S
40,43,29M 3S
40,45,28M 34S
42,45,28M 8S
44,45,27M 49S
45,45,27M 22S
46,45,27M 22S
46,47,27M 4S
49,47,26M 42S
49,49,26M 16S
51,49,25M 55S
51,51,25M 28S
51,53,25M 2S
54,53,24M 50S
54,55,24M 31S
54,57,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,59,23M 33S
56,59,23M 20S
56,62,23M 0S
57,62,22M 29S
58,62,22M 29S
58,65,22M 10S
61,65,21M 42S
61,67,21M 19S
63,67,21M 6S
63,70,20M 40S
64,70,20M 23S
65,70,20M 23S
65,72,20M 11S
68,72,19M 54S
68,74,19M 41S
68,75,19M 13S
68,76,19M 13S
70,76,19M 0S
73,76,18M 34S
76,76,18M 4S
76,78,17M 41S
79,78,17M 26S
81,78,16M 33S
84,78,15M 45S
84,80,15M 9S
84,83,14M 47S
87,83,14M 28S
88,83,14M 12S
88,85,13M 58S
88,86,13M 58S
88,88,13M 35S
88,90,13M 7S
89,90,12M 52S
90,90,12M 48S
90,93,12M 32S
93,93,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,95,11M 40S
95,95,11M 14S
95,98,10M 17S
95,101,9M 26S
95,103,9M 5S
95,105,8M 8S
97,105,7M 54S
98,105,6M 29S
98,106,6M 14S
98,107,6M 14S
101,107,6M 2S
101,109,4M 46S
104,109,4M 35S
104,111,4M 14S
104,113,2M 35S
106,113,2M 18S
106,116,1M 59S
108,116,1M 46S
111,116,1M 11S
114,116,22S
114,118,20S
114,119,4S
114,120,4S
End of 4th quarter,NA,0S
