Minnesota,Chicago,time_rem
7-26,15-16,48M 0S
2,0,47M 40S
5,0,47M 11S
7,0,46M 36S
7,3,46M 14S
7,5,45M 22S
8,5,45M 17S
9,5,45M 17S
9,7,45M 4S
11,7,44M 50S
12,7,44M 27S
12,9,44M 12S
14,9,43M 51S
14,12,43M 37S
14,14,43M 12S
16,14,43M 2S
17,14,43M 2S
17,16,42M 46S
19,16,42M 21S
20,16,42M 1S
21,16,42M 1S
23,16,41M 9S
23,18,40M 52S
25,18,40M 36S
25,21,40M 27S
25,23,39M 59S
27,23,39M 53S
27,26,39M 30S
30,26,39M 12S
32,26,37M 47S
32,28,37M 29S
32,30,37M 1S
34,30,36M 47S
34,32,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,32,35M 27S
36,34,35M 11S
36,36,34M 51S
36,38,33M 52S
38,38,33M 41S
38,40,33M 13S
38,42,32M 48S
38,43,32M 18S
38,44,32M 18S
38,46,30M 59S
40,46,30M 40S
40,48,30M 24S
43,48,29M 56S
43,51,29M 36S
43,53,28M 45S
45,53,28M 30S
46,53,28M 30S
48,53,28M 4S
49,53,27M 32S
49,55,27M 23S
51,55,27M 10S
51,57,26M 45S
51,58,26M 45S
51,60,25M 21S
53,60,25M 7S
53,62,24M 48S
53,63,24M 48S
56,63,24M 34S
56,65,24M 26S
58,65,24M 5S
58,68,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,70,23M 38S
58,72,23M 0S
59,72,22M 32S
60,72,22M 32S
63,72,21M 57S
65,72,21M 16S
65,74,20M 4S
67,74,19M 51S
70,74,19M 18S
70,76,18M 58S
72,76,18M 42S
72,78,18M 24S
73,78,17M 58S
74,78,17M 58S
74,80,17M 38S
76,80,17M 21S
76,83,16M 43S
78,83,16M 31S
78,85,16M 5S
78,86,15M 27S
78,87,15M 27S
81,87,15M 0S
81,89,14M 34S
81,91,13M 56S
83,91,13M 36S
83,94,13M 13S
85,94,12M 55S
87,94,12M 35S
87,96,12M 21S
90,96,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,98,11M 10S
92,98,10M 57S
93,98,10M 57S
95,98,9M 48S
97,98,8M 59S
97,99,8M 44S
97,100,8M 44S
99,100,8M 10S
99,102,7M 56S
99,104,7M 38S
101,104,7M 22S
101,106,5M 49S
103,106,5M 38S
103,108,5M 11S
103,111,4M 44S
103,113,4M 4S
106,113,3M 53S
109,113,3M 30S
110,113,2M 45S
111,113,2M 45S
111,115,2M 26S
113,115,2M 4S
113,117,1M 15S
116,117,57S
116,118,9S
116,119,9S
117,119,4S
118,119,4S
119,119,4S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: N. Reid vs. W. Carter (C. White gains possession),NA,5M 0S
119,121,4M 37S
119,123,3M 50S
119,126,3M 27S
121,126,3M 12S
121,128,2M 42S
124,128,2M 31S
124,130,1M 41S
125,130,30S
126,130,30S
126,131,26S
126,132,15S
126,133,15S
End of 1st overtime,NA,0S
