Oklahoma City,Miami,time_rem
2-4,3-3,48M 0S
0,2,47M 44S
0,4,46M 59S
0,6,45M 32S
2,6,45M 11S
3,6,45M 11S
3,8,45M 0S
3,11,44M 29S
5,11,44M 9S
Jump ball: J. Butler vs. A. Horford (K. Olynyk gains possession),NA,43M 47S
5,14,43M 29S
7,14,42M 56S
7,16,42M 40S
10,16,41M 53S
10,18,40M 59S
12,18,40M 44S
14,18,40M 19S
15,18,39M 50S
16,18,39M 50S
16,21,39M 41S
18,21,38M 2S
18,23,37M 52S
20,23,37M 41S
20,26,37M 29S
23,26,36M 4S
24,26,36M 4S
26,26,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,26,35M 34S
29,29,35M 15S
29,32,34M 47S
31,32,34M 28S
31,34,32M 50S
31,37,32M 28S
31,40,31M 46S
31,42,31M 14S
33,42,30M 16S
33,43,30M 0S
33,44,30M 0S
35,44,29M 24S
37,44,28M 54S
37,46,28M 36S
37,49,28M 0S
40,49,27M 46S
40,51,27M 32S
43,51,27M 14S
43,52,27M 2S
43,53,27M 2S
44,53,26M 54S
45,53,26M 54S
45,56,26M 45S
47,56,26M 23S
49,56,25M 51S
49,58,25M 41S
49,61,25M 7S
49,63,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,63,23M 48S
52,65,23M 24S
55,65,22M 59S
55,66,20M 54S
55,67,20M 54S
58,67,20M 38S
61,67,20M 1S
62,67,19M 44S
63,67,19M 44S
63,69,19M 9S
63,70,18M 48S
63,71,18M 48S
63,74,17M 28S
63,77,16M 58S
63,79,16M 26S
Jump ball: P. Achiuwa vs. J. Jackson (K. Olynyk gains possession),NA,16M 10S
63,82,15M 59S
63,84,15M 11S
63,86,14M 5S
63,87,14M 5S
66,87,13M 46S
66,88,13M 29S
66,91,13M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,93,11M 45S
67,93,11M 27S
67,95,11M 16S
68,95,11M 1S
68,97,10M 37S
Jump ball: H. Diallo vs. A. Bradley (T. Maledon gains possession),NA,10M 29S
69,97,10M 3S
70,97,10M 3S
70,99,9M 53S
70,101,9M 25S
70,104,8M 59S
72,104,8M 30S
75,104,7M 38S
75,106,7M 4S
76,106,6M 55S
77,106,6M 55S
77,108,5M 20S
78,108,5M 12S
78,110,4M 32S
79,110,4M 27S
79,112,3M 0S
79,114,2M 6S
80,114,2M 0S
81,114,2M 0S
84,114,1M 39S
84,116,1M 28S
87,116,1M 17S
89,116,56S
89,118,44S
90,118,5S
End of 4th quarter,NA,0S
