Philadelphia,Golden State,time_rem
31-13,22-22,48M 0S
0,0,47M 40S
2,0,47M 29S
2,2,46M 42S
5,2,46M 16S
5,3,46M 1S
5,4,46M 1S
7,4,45M 45S
9,4,45M 7S
9,5,44M 55S
11,5,44M 22S
13,5,43M 57S
13,7,43M 44S
16,7,43M 32S
18,7,43M 18S
20,7,42M 50S
20,9,42M 31S
22,9,41M 2S
25,9,40M 32S
27,9,39M 41S
27,11,39M 23S
30,11,38M 54S
31,11,38M 18S
32,11,37M 58S
33,11,37M 58S
35,11,37M 36S
35,13,37M 25S
35,15,37M 8S
35,17,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,17,35M 37S
39,17,35M 22S
39,20,35M 10S
39,22,34M 19S
39,24,33M 38S
39,26,33M 1S
39,27,31M 29S
39,28,31M 29S
40,28,31M 16S
41,28,31M 16S
41,30,30M 58S
44,30,30M 29S
44,32,29M 50S
45,32,29M 37S
46,32,29M 37S
47,32,29M 17S
48,32,29M 17S
50,32,28M 42S
50,34,28M 25S
52,34,28M 6S
54,34,27M 44S
56,34,27M 6S
56,35,26M 51S
56,37,26M 26S
58,37,26M 13S
59,37,26M 13S
59,39,25M 54S
59,40,25M 25S
59,41,25M 25S
59,42,24M 54S
59,43,24M 54S
59,45,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,45,23M 48S
61,47,23M 3S
61,49,22M 6S
63,49,21M 54S
63,52,21M 35S
65,52,21M 4S
65,54,20M 57S
66,54,20M 49S
67,54,20M 49S
67,57,20M 11S
69,57,19M 48S
69,60,19M 31S
69,63,19M 8S
71,63,18M 48S
71,65,18M 35S
71,68,18M 4S
72,68,17M 46S
72,71,17M 32S
74,71,17M 9S
74,72,17M 5S
74,73,17M 5S
74,74,17M 5S
74,75,16M 38S
75,75,16M 23S
75,76,16M 15S
75,77,16M 15S
76,77,15M 38S
77,77,15M 15S
77,79,14M 59S
77,80,13M 50S
77,81,13M 50S
77,83,13M 10S
80,83,12M 30S
80,85,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,85,10M 13S
83,85,10M 13S
83,88,10M 1S
84,88,9M 29S
86,88,9M 10S
86,90,8M 54S
86,92,7M 21S
88,92,6M 35S
90,92,6M 1S
93,92,5M 32S
94,92,4M 55S
96,92,4M 47S
96,94,4M 31S
96,96,4M 10S
98,96,3M 44S
100,96,3M 17S
101,96,2M 47S
102,96,2M 47S
103,96,2M 47S
105,96,2M 12S
105,98,1M 57S
107,98,59S
108,98,42S
Jump ball: M. Thybulle vs. K. Oubre (T. Harris gains possession),NA,8S
End of 4th quarter,NA,0S
