Washington,Atlanta,time_rem
32-38,39-31,48M 0S
0,3,47M 44S
2,3,47M 17S
2,4,46M 52S
3,4,46M 20S
3,5,46M 4S
3,7,45M 39S
3,9,45M 15S
6,9,45M 3S
9,9,44M 29S
11,9,43M 36S
11,11,43M 12S
13,11,43M 3S
13,12,42M 56S
13,13,42M 56S
16,13,42M 37S
16,16,42M 25S
16,18,41M 35S
18,18,41M 3S
18,19,40M 51S
18,20,40M 51S
18,21,40M 36S
18,22,40M 36S
20,22,40M 22S
20,25,40M 5S
23,25,39M 31S
23,26,38M 55S
23,27,38M 55S
23,29,38M 25S
23,31,37M 35S
24,31,37M 26S
25,31,37M 26S
25,33,37M 10S
26,33,36M 51S
27,33,36M 51S
27,35,36M 5S
29,35,36M 0S
30,35,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,35,35M 38S
35,35,33M 46S
35,36,33M 31S
35,38,33M 5S
35,41,32M 39S
36,41,31M 56S
37,41,31M 56S
37,43,31M 34S
39,43,30M 58S
39,45,30M 35S
41,45,30M 0S
41,47,29M 50S
43,47,29M 36S
45,47,28M 57S
45,49,28M 45S
48,49,28M 37S
48,51,28M 9S
48,52,27M 48S
48,53,27M 48S
50,53,27M 36S
50,54,26M 57S
52,54,25M 47S
52,56,25M 34S
53,56,25M 23S
54,56,25M 23S
56,56,24M 48S
59,56,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,56,23M 32S
63,56,23M 9S
63,58,22M 53S
65,58,22M 32S
67,58,22M 17S
67,60,21M 58S
67,62,21M 40S
69,62,20M 1S
69,64,19M 46S
72,64,19M 22S
72,66,19M 0S
72,68,18M 38S
74,68,18M 24S
74,70,18M 7S
77,70,17M 34S
78,70,17M 13S
79,70,17M 13S
81,70,16M 48S
81,72,16M 37S
81,74,16M 4S
83,74,15M 50S
85,74,15M 27S
85,76,14M 33S
87,76,14M 13S
89,76,13M 29S
89,78,13M 11S
89,80,12M 43S
91,80,12M 27S
91,83,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,83,11M 23S
93,85,11M 5S
95,85,10M 45S
97,85,10M 28S
97,86,10M 16S
97,87,10M 16S
100,87,10M 4S
100,90,9M 49S
102,90,9M 31S
102,92,8M 50S
102,93,8M 18S
102,96,7M 53S
102,99,7M 16S
104,99,6M 59S
105,99,6M 21S
105,101,6M 15S
107,101,5M 56S
107,103,5M 22S
109,103,5M 9S
110,103,4M 37S
110,105,4M 25S
110,106,4M 25S
110,108,3M 52S
110,109,3M 52S
112,109,3M 41S
114,109,3M 15S
114,111,2M 59S
115,111,2M 43S
116,111,2M 43S
116,114,2M 33S
116,117,24S
116,118,13S
116,119,13S
116,120,3S
End of 4th quarter,NA,0S
