Brooklyn,Phoenix,time_rem
18-12,17-10,48M 0S
0,0,47M 46S
0,2,47M 37S
0,4,47M 7S
3,4,46M 45S
3,6,46M 28S
5,6,46M 7S
5,8,46M 1S
5,9,46M 1S
5,10,45M 25S
5,11,45M 25S
5,12,44M 31S
5,13,44M 31S
7,13,44M 15S
7,15,44M 1S
10,15,43M 50S
10,17,43M 30S
10,20,42M 57S
12,20,42M 42S
12,22,42M 25S
12,24,41M 36S
14,24,41M 15S
16,24,40M 41S
18,24,40M 16S
18,26,39M 52S
18,28,38M 59S
21,28,38M 30S
21,31,38M 12S
21,33,37M 26S
22,33,36M 46S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,36,35M 43S
22,38,35M 22S
24,38,35M 12S
24,41,34M 52S
27,41,34M 42S
27,43,34M 24S
29,43,34M 2S
29,44,33M 22S
29,45,33M 22S
32,45,33M 12S
32,47,32M 58S
32,48,32M 44S
32,49,32M 44S
35,49,32M 30S
35,51,32M 5S
37,51,31M 57S
37,54,30M 52S
39,54,30M 11S
39,56,30M 1S
41,56,29M 44S
41,58,29M 32S
43,58,29M 11S
43,60,28M 53S
43,63,28M 12S
45,63,27M 50S
45,66,27M 32S
48,66,26M 47S
48,68,26M 26S
48,70,26M 3S
49,70,25M 42S
49,73,25M 33S
51,73,25M 9S
54,73,24M 35S
54,75,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,75,23M 27S
55,77,22M 29S
58,77,22M 14S
58,79,22M 4S
61,79,21M 36S
61,81,21M 18S
64,81,20M 7S
64,84,19M 49S
66,84,19M 28S
67,84,19M 28S
67,87,18M 49S
69,87,18M 34S
71,87,17M 55S
74,87,17M 38S
74,89,17M 10S
74,90,17M 10S
76,90,16M 46S
76,92,16M 29S
78,92,16M 16S
79,92,16M 16S
81,92,15M 18S
82,92,14M 43S
83,92,14M 43S
83,94,14M 21S
86,94,13M 59S
86,97,13M 41S
88,97,13M 25S
88,100,13M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,101,11M 20S
88,102,11M 20S
90,102,11M 11S
91,102,11M 11S
94,102,10M 47S
95,102,10M 28S
96,102,10M 28S
96,104,10M 12S
98,104,9M 56S
98,106,9M 37S
101,106,8M 52S
101,108,8M 38S
103,108,7M 9S
106,108,6M 40S
106,110,6M 12S
106,113,5M 42S
107,113,5M 33S
108,113,5M 33S
108,116,4M 56S
111,116,4M 37S
111,118,4M 22S
114,118,3M 57S
114,121,3M 31S
116,121,3M 7S
116,124,2M 48S
119,124,2M 21S
121,124,1M 39S
Jump ball: J. Green vs. D. Ayton (J. Harden gains possession),NA,1M 14S
123,124,59S
126,124,31S
127,124,11S
128,124,11S
End of 4th quarter,NA,0S
