Chicago,Atlanta,time_rem
22-29,28-25,48M 0S
3,0,47M 42S
3,2,46M 57S
5,2,46M 39S
5,4,46M 25S
8,4,46M 14S
10,4,45M 50S
10,6,45M 31S
10,8,45M 6S
12,8,44M 51S
12,10,44M 31S
14,10,44M 0S
14,12,43M 43S
16,12,43M 21S
17,12,42M 59S
18,12,42M 59S
18,14,42M 6S
20,14,41M 53S
20,15,41M 8S
23,15,40M 17S
23,16,40M 2S
23,17,40M 2S
23,19,39M 37S
26,19,38M 34S
26,21,38M 19S
28,21,38M 7S
28,23,37M 51S
30,23,37M 35S
30,24,37M 27S
30,25,37M 27S
33,25,37M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,28,35M 47S
Jump ball: D. Theis vs. O. Okongwu (Z. LaVine gains possession),NA,35M 34S
34,28,35M 20S
35,28,35M 20S
35,30,35M 6S
35,33,34M 44S
36,33,34M 24S
37,33,34M 24S
37,35,34M 13S
38,35,33M 28S
39,35,33M 28S
39,37,33M 14S
41,37,32M 59S
41,40,32M 33S
44,40,32M 16S
45,40,32M 0S
46,40,32M 0S
49,40,31M 37S
49,42,31M 18S
49,43,31M 18S
49,45,30M 58S
51,45,30M 33S
54,45,30M 1S
56,45,29M 28S
56,47,28M 46S
59,47,27M 45S
59,49,27M 34S
59,51,27M 7S
62,51,26M 51S
64,51,24M 49S
64,53,24M 31S
66,53,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,55,23M 43S
68,55,23M 30S
68,57,23M 17S
68,60,22M 56S
68,62,22M 23S
71,62,21M 58S
71,64,21M 12S
73,64,20M 55S
73,66,20M 43S
73,67,20M 19S
73,69,19M 56S
75,69,19M 37S
75,71,18M 44S
75,73,18M 15S
75,74,17M 49S
77,74,17M 36S
78,74,17M 18S
78,76,16M 37S
80,76,15M 5S
80,77,14M 49S
80,78,14M 49S
82,78,14M 36S
82,80,13M 45S
82,82,13M 16S
82,84,12M 42S
84,84,12M 25S
84,85,12M 2S
84,86,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,86,11M 26S
88,86,11M 7S
88,87,10M 46S
88,88,10M 46S
90,88,10M 37S
90,90,10M 19S
91,90,10M 10S
92,90,10M 10S
95,90,9M 53S
95,92,9M 30S
97,92,9M 8S
99,92,8M 47S
99,94,8M 27S
99,95,8M 7S
99,96,8M 7S
101,96,7M 25S
101,97,6M 49S
101,99,6M 23S
101,102,5M 49S
101,104,5M 12S
103,104,4M 55S
103,107,4M 36S
103,109,4M 3S
103,111,3M 26S
103,113,2M 42S
106,113,1M 18S
106,116,59S
106,118,28S
108,118,22S
108,119,12S
108,120,12S
End of 4th quarter,NA,0S
