Dallas,Chicago,time_rem
2-4,3-4,48M 0S
0,0,47M 44S
0,2,47M 27S
2,2,46M 54S
2,4,46M 32S
2,6,46M 1S
3,6,45M 19S
4,6,45M 19S
4,8,45M 8S
4,10,44M 22S
6,10,44M 9S
8,10,43M 27S
10,10,43M 4S
10,12,42M 53S
12,12,42M 31S
15,12,42M 7S
15,13,41M 42S
15,14,41M 42S
18,14,41M 24S
18,16,41M 5S
20,16,40M 40S
20,18,40M 28S
22,18,40M 13S
22,20,39M 25S
25,20,39M 13S
25,21,39M 1S
27,21,38M 30S
27,24,38M 18S
29,24,38M 4S
29,26,37M 50S
29,28,37M 21S
29,31,36M 59S
31,31,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,33,35M 26S
33,33,35M 3S
33,35,34M 47S
35,35,34M 29S
37,35,34M 0S
37,38,33M 32S
39,38,32M 52S
39,40,32M 42S
42,40,32M 31S
42,41,31M 52S
42,42,31M 52S
Jump ball: P. Williams vs. J. Brunson (D. Valentine gains possession),NA,31M 37S
42,45,31M 18S
42,47,30M 52S
44,47,30M 33S
46,47,30M 6S
48,47,29M 40S
49,47,29M 3S
50,47,29M 3S
50,48,28M 29S
50,49,28M 29S
50,50,27M 56S
50,51,27M 56S
52,51,27M 41S
53,51,27M 13S
54,51,27M 13S
54,53,27M 2S
54,54,27M 2S
57,54,26M 47S
Jump ball: D. Finney,Smith vs. Z. LaVine (W. Cauley,25M 54S
60,54,25M 9S
60,57,24M 58S
60,59,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,62,23M 26S
63,62,23M 13S
63,65,22M 18S
66,65,21M 29S
66,67,20M 29S
67,67,19M 47S
68,67,18M 55S
69,67,18M 55S
71,67,18M 29S
71,68,17M 22S
71,69,17M 22S
73,69,16M 58S
73,71,16M 38S
73,74,16M 5S
76,74,15M 48S
76,75,15M 23S
76,76,15M 23S
79,76,14M 58S
79,79,14M 40S
81,79,14M 24S
81,81,13M 26S
81,84,12M 51S
81,86,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,86,11M 29S
82,88,11M 7S
84,88,10M 59S
85,88,10M 59S
85,90,10M 20S
85,91,9M 45S
85,92,9M 45S
87,92,9M 32S
87,95,9M 23S
88,95,9M 11S
89,95,9M 11S
89,98,8M 48S
91,98,8M 34S
91,99,8M 9S
91,100,8M 9S
93,100,6M 17S
95,100,5M 36S
95,102,5M 28S
95,103,5M 28S
96,103,5M 17S
98,103,4M 57S
98,105,4M 43S
98,106,4M 43S
99,106,4M 10S
100,106,4M 10S
102,106,3M 49S
103,106,3M 27S
104,106,3M 27S
104,107,3M 18S
104,108,3M 18S
104,110,2M 49S
105,110,1M 48S
105,113,1M 33S
108,113,1M 25S
108,114,55S
108,115,25S
108,116,25S
108,117,16S
108,118,16S
End of 4th quarter,NA,0S
