Phoenix,Miami,time_rem
29-13,22-22,48M 0S
0,0,47M 36S
0,2,46M 40S
0,5,45M 57S
2,5,45M 29S
4,5,44M 57S
6,5,44M 8S
6,7,42M 55S
8,7,42M 34S
8,10,42M 25S
10,10,42M 14S
12,10,41M 43S
15,10,40M 42S
18,10,40M 26S
18,12,39M 30S
20,12,38M 51S
20,14,38M 15S
20,16,37M 29S
23,16,37M 3S
23,18,36M 52S
23,19,36M 7S
23,20,36M 7S
25,20,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,20,35M 9S
27,21,34M 52S
27,22,34M 52S
29,22,34M 32S
32,22,34M 2S
33,22,34M 2S
33,23,33M 46S
33,24,33M 46S
33,27,33M 14S
35,27,33M 0S
35,30,32M 4S
37,30,31M 19S
37,31,31M 3S
39,31,30M 48S
39,34,30M 35S
42,34,30M 0S
42,35,29M 44S
42,36,29M 44S
42,39,29M 16S
44,39,28M 35S
45,39,28M 10S
46,39,28M 10S
49,39,27M 47S
51,39,27M 15S
51,41,26M 34S
54,41,26M 24S
54,42,25M 49S
54,43,25M 49S
56,43,25M 36S
58,43,24M 42S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,43,23M 29S
60,45,23M 1S
63,45,22M 56S
63,47,22M 40S
66,47,22M 25S
68,47,21M 38S
69,47,21M 38S
69,48,21M 25S
69,49,21M 25S
71,49,20M 27S
71,51,19M 34S
73,51,19M 7S
73,53,18M 56S
75,53,18M 10S
76,53,18M 10S
76,56,17M 52S
78,56,17M 18S
78,58,16M 30S
80,58,16M 12S
80,60,16M 1S
82,60,15M 42S
82,62,15M 31S
82,65,13M 46S
82,68,13M 12S
82,70,12M 37S
82,71,12M 37S
85,71,12M 28S
85,73,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,73,11M 37S
88,75,11M 6S
90,75,10M 20S
90,77,10M 12S
92,77,9M 52S
94,77,9M 14S
95,77,8M 6S
96,77,7M 43S
97,77,7M 43S
97,78,7M 29S
99,78,7M 9S
99,80,6M 58S
101,80,6M 20S
101,82,5M 52S
101,84,5M 23S
103,84,4M 21S
103,86,3M 33S
106,86,3M 14S
106,89,2M 41S
108,89,2M 22S
108,92,2M 4S
108,94,1M 45S
108,97,37S
110,97,18S
110,100,0S
End of 4th quarter,NA,0S
