Milwaukee,Cleveland,time_rem
15-8,10-14,48M 0S
0,0,47M 42S
2,0,47M 21S
2,2,46M 57S
5,2,46M 41S
5,5,46M 21S
5,7,45M 53S
7,7,45M 38S
7,9,44M 39S
7,11,43M 39S
10,11,43M 0S
10,13,41M 53S
13,13,40M 53S
13,15,40M 23S
15,15,40M 3S
15,16,39M 50S
17,16,39M 34S
19,16,39M 4S
21,16,38M 15S
23,16,37M 49S
25,16,37M 17S
25,17,36M 58S
25,19,36M 36S
25,21,36M 4S
25,22,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,22,35M 42S
28,22,34M 59S
29,22,34M 59S
29,25,34M 35S
29,27,34M 23S
30,27,34M 19S
32,27,33M 17S
32,28,32M 40S
32,29,32M 40S
34,29,32M 22S
34,31,32M 3S
36,31,31M 48S
36,33,31M 29S
39,33,30M 53S
39,35,30M 38S
39,38,30M 16S
41,38,29M 57S
41,41,29M 32S
44,41,29M 9S
44,43,28M 49S
44,44,28M 15S
47,44,27M 59S
47,46,27M 43S
49,46,27M 11S
52,46,26M 44S
52,48,26M 7S
54,48,25M 42S
54,50,25M 23S
57,50,24M 58S
57,51,24M 49S
57,52,24M 49S
58,52,24M 26S
59,52,24M 26S
59,54,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,54,22M 28S
62,54,21M 33S
63,54,21M 33S
63,56,21M 14S
63,57,21M 14S
66,57,21M 7S
66,58,20M 53S
66,60,20M 40S
68,60,20M 8S
70,60,19M 44S
71,60,19M 44S
71,62,19M 18S
71,64,18M 28S
71,66,18M 4S
73,66,17M 49S
73,68,17M 30S
76,68,17M 17S
76,70,16M 55S
78,70,16M 36S
78,72,16M 28S
79,72,16M 7S
80,72,16M 7S
80,74,15M 52S
82,74,15M 36S
84,74,15M 7S
86,74,14M 43S
89,74,14M 20S
91,74,13M 20S
91,77,13M 7S
92,77,12M 47S
94,77,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,77,11M 31S
98,77,10M 57S
98,79,10M 45S
98,82,10M 27S
98,83,9M 49S
98,84,9M 49S
98,86,9M 11S
100,86,8M 52S
103,86,8M 16S
103,88,8M 6S
104,88,7M 56S
104,90,7M 21S
107,90,7M 15S
109,90,6M 35S
112,90,6M 9S
112,92,5M 43S
114,92,5M 23S
117,92,4M 53S
120,92,4M 21S
122,92,3M 16S
122,93,2M 56S
122,95,2M 52S
123,95,1M 59S
124,95,1M 59S
124,97,1M 48S
124,98,1M 28S
124,99,1M 28S
End of 4th quarter,NA,0S
