Golden State,Phoenix,time_rem
10-9,9-8,48M 0S
0,0,47M 44S
0,2,47M 22S
0,4,46M 53S
0,7,46M 32S
2,7,46M 18S
5,7,45M 55S
5,9,45M 32S
5,11,45M 13S
6,11,44M 54S
7,11,44M 54S
10,11,44M 28S
10,14,44M 13S
10,16,43M 29S
13,16,43M 19S
16,16,42M 55S
16,18,42M 32S
16,21,41M 48S
18,21,41M 35S
18,23,41M 20S
19,23,41M 3S
19,26,39M 6S
19,27,38M 15S
19,28,38M 15S
19,30,37M 52S
19,31,37M 52S
19,33,37M 20S
21,33,37M 7S
24,33,36M 46S
24,35,36M 38S
27,35,36M 29S
27,36,36M 8S
29,36,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,38,35M 42S
31,38,35M 19S
33,38,34M 57S
35,38,34M 28S
37,38,33M 39S
39,38,33M 15S
39,40,31M 50S
39,42,31M 18S
39,44,30M 39S
41,44,30M 3S
41,46,29M 27S
43,46,29M 17S
46,46,28M 37S
Jump ball: K. Looney vs. M. Bridges (D. Green gains possession),NA,26M 30S
46,48,26M 14S
46,49,25M 33S
46,50,25M 33S
47,50,25M 20S
Jump ball: D. Green vs. C. Johnson (K. Oubre gains possession),NA,24M 53S
47,52,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,55,23M 11S
50,55,22M 55S
52,55,21M 45S
52,58,21M 20S
55,58,21M 8S
57,58,20M 14S
57,59,19M 52S
57,60,19M 52S
57,61,19M 52S
57,64,19M 11S
57,67,18M 46S
57,69,18M 2S
59,69,17M 47S
Jump ball: D. Green vs. C. Paul (A. Wiggins gains possession),NA,17M 20S
61,69,17M 1S
61,70,16M 57S
61,71,16M 57S
61,72,16M 57S
62,72,16M 49S
63,72,16M 49S
63,73,16M 40S
63,74,16M 40S
65,74,16M 32S
65,76,16M 8S
67,76,15M 2S
67,78,14M 44S
67,79,14M 44S
69,79,14M 23S
69,80,13M 46S
69,81,13M 46S
71,81,13M 23S
71,83,13M 6S
71,85,12M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,85,11M 38S
73,87,11M 14S
75,87,10M 40S
77,87,10M 26S
77,89,9M 49S
79,89,9M 38S
79,91,9M 15S
81,91,8M 18S
81,94,7M 55S
81,97,7M 33S
81,100,7M 6S
83,100,6M 49S
83,102,6M 27S
83,104,6M 1S
83,105,5M 38S
83,106,5M 38S
83,108,5M 5S
86,108,4M 28S
86,110,4M 13S
86,112,3M 51S
86,113,3M 25S
86,114,3M 25S
89,114,2M 20S
91,114,1M 36S
93,114,34S
End of 4th quarter,NA,0S
