New York,Washington,time_rem
12-15,6-17,48M 0S
0,0,47M 47S
0,2,47M 40S
2,2,47M 7S
2,4,46M 59S
4,4,46M 33S
4,6,45M 31S
4,8,45M 9S
6,8,44M 58S
8,8,44M 32S
10,8,44M 11S
13,8,43M 39S
14,8,43M 3S
15,8,43M 3S
15,10,42M 42S
17,10,42M 25S
17,11,42M 14S
18,11,41M 57S
19,11,41M 40S
20,11,41M 40S
20,14,41M 25S
22,14,41M 9S
22,16,40M 53S
22,18,40M 33S
24,18,39M 59S
26,18,38M 28S
28,18,37M 52S
28,20,37M 9S
30,20,36M 37S
30,23,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,23,35M 44S
32,25,35M 16S
32,26,35M 16S
32,29,34M 48S
34,29,33M 53S
36,29,33M 7S
36,31,32M 22S
38,31,32M 10S
40,31,31M 52S
40,34,31M 6S
41,34,30M 49S
42,34,30M 49S
43,34,30M 49S
45,34,29M 55S
45,36,29M 16S
47,36,28M 55S
47,38,27M 48S
49,38,27M 36S
49,39,26M 19S
49,40,26M 19S
51,40,25M 58S
51,42,25M 15S
53,42,25M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,45,23M 44S
55,45,23M 17S
55,48,22M 20S
58,48,21M 51S
58,51,21M 36S
58,52,20M 31S
58,53,20M 31S
58,55,19M 51S
61,55,19M 27S
61,57,18M 51S
64,57,18M 0S
66,57,17M 38S
66,58,17M 23S
66,59,17M 23S
68,59,16M 38S
68,62,16M 26S
70,62,15M 41S
70,64,14M 46S
71,64,13M 49S
72,64,13M 49S
74,64,13M 26S
76,64,13M 5S
78,64,12M 38S
79,64,12M 38S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,64,11M 37S
84,64,11M 12S
84,66,10M 34S
84,67,10M 34S
86,67,10M 19S
86,69,9M 57S
86,71,9M 26S
88,71,9M 8S
90,71,8M 13S
92,71,7M 45S
92,73,7M 8S
94,73,6M 49S
94,75,6M 31S
95,75,6M 14S
95,77,5M 58S
97,77,5M 41S
100,77,5M 7S
102,77,4M 38S
102,78,3M 50S
102,79,3M 50S
102,81,3M 5S
104,81,2M 52S
104,82,2M 17S
105,82,1M 59S
106,82,1M 59S
106,84,1M 48S
107,84,1M 32S
107,85,1M 18S
107,86,1M 18S
107,88,1M 6S
109,88,39S
109,91,23S
End of 4th quarter,NA,0S
