Miami,Phoenix,time_rem
28-26,39-15,48M 0S
0,0,47M 52S
0,3,47M 21S
2,3,46M 54S
5,3,46M 24S
5,5,46M 5S
7,5,45M 5S
7,7,44M 35S
7,9,44M 9S
10,9,43M 55S
11,9,43M 55S
12,9,43M 39S
13,9,43M 39S
13,11,43M 26S
15,11,43M 7S
18,11,42M 22S
20,11,42M 0S
22,11,41M 39S
22,13,41M 24S
25,13,40M 52S
25,16,40M 16S
27,16,40M 0S
27,19,39M 34S
28,19,39M 18S
29,19,39M 18S
31,19,38M 19S
31,21,38M 8S
34,21,37M 26S
34,24,37M 11S
34,26,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,28,35M 50S
34,29,35M 50S
36,29,34M 42S
36,32,34M 36S
37,32,34M 18S
38,32,34M 18S
38,34,34M 6S
39,34,33M 53S
40,34,33M 53S
40,37,33M 14S
42,37,32M 56S
42,38,32M 48S
42,39,32M 48S
42,42,32M 19S
42,45,31M 7S
44,45,30M 44S
46,45,29M 3S
46,47,28M 43S
47,47,27M 49S
47,48,27M 37S
47,49,27M 37S
47,51,27M 11S
49,51,26M 55S
49,52,26M 37S
49,53,26M 37S
49,55,26M 9S
49,56,25M 36S
50,56,24M 49S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,58,23M 47S
53,58,23M 26S
55,58,22M 22S
55,60,22M 14S
57,60,22M 3S
57,62,20M 55S
57,63,20M 55S
57,64,19M 37S
57,65,19M 37S
60,65,19M 30S
60,67,17M 36S
63,67,17M 25S
63,70,16M 43S
65,70,16M 28S
66,70,15M 33S
67,70,15M 33S
67,71,15M 14S
67,72,15M 14S
67,73,14M 33S
67,74,14M 33S
67,76,13M 50S
69,76,13M 21S
69,79,13M 5S
71,79,12M 51S
72,79,12M 51S
72,81,12M 34S
72,83,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,85,11M 40S
74,85,11M 11S
74,88,10M 48S
76,88,9M 9S
76,90,8M 49S
78,90,8M 27S
78,93,8M 7S
78,95,7M 28S
80,95,6M 1S
80,97,5M 49S
80,99,4M 53S
83,99,4M 27S
83,101,3M 10S
85,101,2M 50S
85,104,2M 33S
85,105,2M 3S
85,106,2M 3S
86,106,2M 3S
End of 4th quarter,NA,0S
