Denver,Milwaukee,time_rem
20-15,21-14,48M 0S
0,3,47M 42S
2,3,47M 22S
2,4,47M 14S
2,5,47M 14S
2,7,46M 34S
4,7,45M 53S
4,9,45M 36S
7,9,45M 24S
7,11,45M 16S
9,11,45M 1S
9,13,44M 40S
11,13,44M 18S
12,13,44M 18S
14,13,43M 34S
16,13,43M 12S
16,15,42M 25S
18,15,42M 8S
20,15,41M 21S
20,18,41M 9S
22,18,40M 56S
22,21,39M 23S
24,21,39M 2S
26,21,38M 30S
28,21,38M 3S
30,21,37M 22S
31,21,37M 22S
33,21,37M 2S
33,23,36M 50S
35,23,36M 38S
37,23,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,26,35M 26S
40,26,35M 6S
40,27,34M 54S
42,27,33M 28S
44,27,32M 21S
45,27,32M 21S
45,29,31M 41S
47,29,31M 17S
50,29,29M 49S
50,31,29M 27S
50,33,28M 50S
50,35,28M 22S
52,35,28M 11S
52,38,27M 57S
54,38,27M 36S
54,40,27M 24S
56,40,27M 1S
57,40,26M 29S
58,40,26M 29S
58,42,26M 11S
58,45,25M 50S
58,46,25M 50S
60,46,25M 37S
60,47,25M 29S
60,48,25M 29S
60,50,25M 6S
61,50,24M 39S
62,50,24M 39S
64,50,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,50,23M 42S
67,52,23M 29S
67,53,22M 49S
69,53,22M 37S
72,53,22M 23S
72,54,22M 13S
72,55,22M 13S
74,55,21M 22S
74,56,21M 9S
74,57,21M 9S
74,59,20M 40S
74,61,20M 16S
77,61,20M 1S
77,63,19M 51S
79,63,19M 12S
79,64,18M 38S
81,64,18M 23S
81,66,18M 12S
83,66,17M 43S
83,69,17M 2S
86,69,15M 59S
86,70,15M 44S
86,71,15M 44S
89,71,15M 30S
91,71,15M 13S
91,72,14M 36S
91,75,13M 55S
93,75,13M 36S
94,75,13M 2S
95,75,13M 2S
95,78,12M 53S
97,78,12M 38S
97,79,12M 32S
97,80,12M 32S
99,80,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,81,11M 46S
99,82,11M 46S
99,84,11M 17S
99,86,10M 17S
101,86,9M 58S
101,87,9M 46S
104,87,8M 56S
106,87,7M 59S
108,87,7M 46S
108,89,7M 28S
108,90,7M 8S
108,91,7M 8S
110,91,6M 46S
112,91,5M 37S
113,91,4M 33S
114,91,4M 33S
114,94,3M 37S
116,94,2M 56S
116,97,2M 44S
118,97,2M 25S
120,97,1M 56S
122,97,1M 31S
125,97,55S
128,97,14S
End of 4th quarter,NA,0S
