Utah,San Antonio,time_rem
4-2,2-4,48M 0S
2,0,47M 41S
2,2,47M 25S
5,2,46M 43S
6,2,46M 19S
7,2,46M 19S
9,2,45M 51S
9,4,45M 35S
11,4,45M 24S
11,6,44M 23S
11,8,44M 0S
11,10,43M 25S
13,10,42M 9S
16,10,41M 49S
16,12,41M 27S
19,12,41M 18S
19,13,40M 45S
19,15,40M 25S
22,15,40M 13S
23,15,39M 56S
23,18,39M 38S
24,18,39M 19S
25,18,39M 19S
25,21,38M 41S
28,21,38M 0S
31,21,37M 11S
31,23,36M 44S
33,23,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,23,35M 11S
35,25,34M 21S
38,25,34M 11S
38,27,33M 51S
40,27,33M 6S
42,27,32M 48S
44,27,32M 18S
44,29,32M 6S
47,29,31M 57S
50,29,31M 35S
50,32,31M 10S
50,34,30M 45S
50,36,30M 6S
50,38,29M 57S
50,40,29M 34S
50,41,29M 24S
50,42,29M 24S
53,42,29M 15S
53,44,28M 34S
53,45,28M 34S
56,45,28M 21S
56,47,28M 8S
58,47,27M 31S
59,47,27M 31S
60,47,26M 23S
61,47,26M 23S
61,49,25M 59S
63,49,25M 48S
63,51,25M 25S
64,51,24M 36S
65,51,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,53,23M 23S
67,53,23M 6S
67,55,22M 46S
70,55,22M 27S
73,55,21M 54S
73,57,21M 4S
73,59,20M 8S
76,59,19M 23S
79,59,19M 9S
79,61,18M 58S
82,61,18M 24S
82,63,18M 10S
82,65,17M 44S
83,65,17M 21S
83,67,17M 5S
86,67,16M 53S
89,67,16M 26S
89,69,16M 9S
89,70,16M 9S
91,70,15M 56S
91,72,15M 24S
91,73,15M 24S
94,73,14M 53S
96,73,14M 18S
98,73,13M 58S
98,76,12M 56S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,76,11M 47S
100,78,11M 35S
102,78,10M 58S
102,79,10M 27S
102,80,10M 27S
102,82,10M 13S
104,82,9M 45S
104,85,9M 34S
Jump ball: D. Vassell vs. J. Clarkson (T. Lyles gains possession),NA,9M 20S
106,85,8M 58S
109,85,8M 28S
109,87,8M 15S
111,87,8M 0S
113,87,7M 31S
115,87,7M 13S
118,87,6M 51S
118,89,6M 37S
118,90,6M 17S
118,91,6M 17S
120,91,6M 3S
122,91,5M 46S
122,93,5M 25S
122,95,4M 56S
124,95,4M 46S
124,96,4M 22S
126,96,3M 36S
126,98,3M 17S
126,99,3M 17S
128,99,2M 57S
128,100,2M 50S
128,102,2M 14S
130,102,2M 7S
130,105,1M 44S
130,107,47S
130,108,20S
130,109,20S
End of 4th quarter,NA,0S
