Milwaukee,Denver,time_rem
16-8,12-11,48M 0S
0,3,47M 40S
0,6,46M 50S
3,6,46M 39S
3,8,46M 4S
6,8,45M 54S
8,8,45M 21S
8,10,45M 11S
8,13,44M 50S
9,13,44M 16S
9,16,43M 54S
12,16,43M 44S
15,16,43M 21S
15,18,42M 59S
17,18,42M 33S
19,18,42M 8S
21,18,41M 52S
21,20,41M 41S
21,22,41M 15S
23,22,40M 57S
23,24,40M 19S
26,24,40M 4S
26,27,39M 47S
29,27,38M 59S
29,29,38M 43S
32,29,38M 27S
32,32,38M 7S
32,35,37M 33S
32,37,37M 0S
34,37,36M 42S
34,40,36M 36S
35,40,36M 32S
36,40,36M 32S
37,40,36M 32S
37,42,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,42,35M 47S
40,42,35M 47S
43,42,35M 23S
43,43,35M 9S
43,44,35M 9S
45,44,34M 57S
45,47,34M 39S
48,47,33M 54S
50,47,33M 3S
52,47,31M 41S
52,49,30M 49S
52,51,30M 15S
52,52,30M 15S
52,54,29M 30S
52,57,28M 9S
54,57,27M 7S
54,58,26M 40S
54,59,26M 40S
56,59,26M 25S
58,59,26M 6S
58,61,25M 4S
58,62,25M 4S
Jump ball: G. Antetokounmpo vs. P. Millsap (K. Middleton gains possession),NA,24M 11S
59,62,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,64,23M 30S
59,65,23M 30S
62,65,23M 8S
62,68,22M 13S
63,68,22M 0S
64,68,22M 0S
65,68,22M 0S
67,68,21M 27S
69,68,20M 45S
72,68,20M 10S
74,68,19M 38S
77,68,18M 57S
77,70,18M 45S
77,71,18M 45S
78,71,18M 33S
79,71,18M 33S
79,73,18M 15S
79,75,17M 45S
79,78,17M 13S
81,78,16M 57S
83,78,16M 27S
83,81,16M 15S
83,83,15M 23S
84,83,15M 13S
86,83,14M 40S
86,86,14M 21S
87,86,14M 8S
88,86,14M 8S
91,86,13M 41S
91,88,13M 26S
92,88,13M 7S
93,88,13M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,90,11M 45S
96,90,11M 28S
98,90,11M 5S
98,92,10M 23S
99,92,10M 2S
100,92,10M 2S
102,92,9M 22S
102,93,9M 4S
104,93,8M 53S
104,95,8M 38S
107,95,7M 45S
107,98,7M 39S
109,98,7M 22S
109,100,7M 1S
111,100,6M 43S
113,100,6M 11S
113,102,5M 50S
113,104,5M 19S
116,104,5M 2S
116,105,4M 35S
116,106,4M 35S
116,107,4M 14S
116,108,4M 14S
118,108,3M 3S
118,110,2M 25S
120,110,1M 39S
120,111,1M 35S
120,112,1M 35S
122,112,50S
124,112,32S
125,112,32S
End of 4th quarter,NA,0S
