Houston,Indiana,time_rem
2-4,6-2,48M 0S
3,0,47M 48S
3,2,47M 25S
4,2,47M 12S
7,2,46M 46S
7,5,46M 17S
9,5,45M 38S
9,7,45M 24S
11,7,44M 50S
12,7,44M 50S
12,8,43M 45S
14,8,43M 38S
16,8,43M 5S
17,8,42M 33S
18,8,42M 33S
18,10,42M 20S
18,12,41M 26S
20,12,41M 20S
22,12,40M 49S
22,14,40M 19S
22,16,39M 49S
22,17,39M 22S
22,20,39M 9S
24,20,38M 52S
24,22,38M 42S
24,24,38M 17S
26,24,37M 57S
27,24,37M 33S
28,24,37M 33S
28,25,37M 23S
28,26,37M 23S
28,27,37M 23S
28,30,36M 59S
30,30,36M 51S
30,31,36M 38S
30,33,36M 17S
30,35,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,37,35M 38S
32,37,35M 23S
32,39,35M 6S
34,39,34M 39S
34,41,34M 27S
34,43,34M 2S
34,45,33M 24S
35,45,32M 44S
36,45,32M 44S
38,45,32M 21S
41,45,31M 43S
41,47,31M 29S
41,49,30M 45S
41,50,30M 6S
41,51,30M 6S
43,51,29M 52S
45,51,28M 52S
47,51,28M 29S
48,51,28M 4S
48,52,27M 31S
50,52,27M 11S
50,54,27M 2S
52,54,26M 46S
52,56,26M 27S
54,56,25M 57S
54,58,25M 37S
54,59,25M 15S
54,60,25M 15S
54,61,24M 37S
54,62,24M 37S
55,62,24M 29S
56,62,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,62,23M 11S
60,62,22M 52S
60,65,22M 45S
62,65,22M 24S
62,67,21M 22S
64,67,20M 25S
64,70,19M 48S
66,70,19M 28S
66,72,19M 17S
69,72,18M 49S
72,72,18M 10S
72,74,17M 43S
73,74,17M 20S
74,74,17M 20S
74,76,17M 7S
74,77,16M 46S
74,78,16M 46S
77,78,15M 56S
77,81,15M 5S
79,81,14M 49S
79,84,14M 31S
79,86,13M 52S
79,88,13M 39S
82,88,13M 24S
83,88,13M 7S
85,88,12M 43S
86,88,12M 9S
87,88,12M 9S
87,90,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,90,11M 48S
91,90,11M 13S
91,91,11M 4S
91,92,11M 4S
91,94,9M 56S
92,94,9M 39S
93,94,9M 39S
93,96,8M 48S
93,98,7M 35S
95,98,7M 22S
97,98,6M 57S
99,98,6M 20S
99,101,6M 5S
101,101,5M 19S
101,103,5M 3S
103,103,4M 46S
103,105,3M 48S
104,105,3M 32S
105,105,3M 32S
105,106,2M 51S
107,106,2M 37S
107,109,2M 22S
107,111,1M 31S
107,112,29S
107,113,29S
107,114,19S
End of 4th quarter,NA,0S
