Memphis,Charlotte,time_rem
2-3,2-3,48M 0S
0,0,47M 38S
0,1,47M 0S
2,1,46M 13S
4,1,45M 48S
4,3,45M 17S
4,4,44M 45S
4,7,44M 13S
7,7,43M 51S
10,7,43M 31S
12,7,43M 16S
15,7,41M 42S
15,9,41M 26S
17,9,41M 0S
17,10,40M 49S
19,10,39M 59S
21,10,39M 41S
21,12,39M 31S
21,14,39M 7S
21,17,38M 23S
21,19,37M 48S
22,19,36M 27S
23,19,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,19,35M 46S
24,22,35M 32S
26,22,35M 4S
28,22,34M 30S
28,25,34M 9S
31,25,33M 47S
33,25,33M 18S
33,27,32M 57S
33,29,32M 35S
36,29,32M 19S
36,31,32M 4S
38,31,31M 45S
38,33,31M 29S
40,33,31M 13S
41,33,30M 48S
41,36,30M 31S
41,38,29M 55S
44,38,29M 26S
44,40,28M 40S
44,42,28M 1S
46,42,27M 8S
47,42,26M 33S
48,42,26M 33S
48,45,25M 43S
51,45,25M 25S
53,45,24M 46S
53,46,24M 38S
53,47,24M 38S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,47,23M 45S
56,49,23M 29S
58,49,22M 21S
58,50,21M 58S
58,51,21M 58S
60,51,21M 41S
60,53,21M 25S
62,53,21M 4S
64,53,20M 47S
66,53,20M 4S
68,53,19M 17S
70,53,18M 47S
70,55,18M 34S
70,57,17M 40S
73,57,17M 18S
73,59,16M 24S
76,59,16M 18S
Jump ball: D. Brooks vs. P. Washington (D. Bane gains possession),NA,15M 33S
78,59,15M 11S
78,61,14M 33S
78,62,14M 7S
78,63,14M 7S
81,63,13M 46S
81,64,13M 28S
83,64,13M 1S
83,67,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,67,11M 24S
88,67,10M 43S
88,69,10M 27S
88,70,10M 27S
90,70,9M 49S
92,70,9M 12S
92,73,9M 4S
92,75,8M 45S
92,77,8M 2S
92,79,7M 42S
95,79,6M 50S
97,79,5M 33S
99,79,5M 4S
99,80,4M 53S
99,81,4M 53S
101,81,4M 32S
Jump ball: L. Ball vs. J. Valančiūnas (J. McDaniels gains possession),NA,3M 55S
101,82,3M 55S
104,82,3M 41S
105,82,2M 35S
106,82,2M 35S
106,84,2M 19S
106,86,2M 0S
106,88,1M 32S
106,90,1M 6S
108,90,41S
108,93,0S
End of 4th quarter,NA,0S
