Orlando,Washington,time_rem
2-0,0-2,48M 0S
0,2,47M 44S
2,2,47M 3S
2,4,46M 44S
4,4,46M 30S
4,5,46M 22S
4,6,46M 22S
6,6,45M 39S
7,6,45M 39S
7,9,45M 18S
9,9,45M 6S
9,12,44M 53S
10,12,44M 38S
13,12,43M 40S
13,14,43M 5S
15,14,42M 42S
18,14,42M 1S
18,17,41M 21S
20,17,40M 43S
20,19,40M 12S
22,19,39M 46S
23,19,39M 46S
23,21,39M 32S
23,22,39M 32S
25,22,39M 5S
27,22,38M 12S
27,25,38M 2S
27,26,37M 24S
29,26,37M 10S
29,29,37M 1S
29,30,36M 39S
32,30,36M 31S
32,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,32,34M 58S
35,32,34M 37S
37,32,34M 17S
39,32,33M 46S
39,34,33M 14S
40,34,33M 5S
41,34,33M 5S
42,34,33M 5S
42,36,32M 57S
44,36,32M 45S
44,39,31M 52S
44,41,31M 10S
47,41,30M 33S
49,41,30M 3S
49,44,29M 47S
51,44,29M 23S
52,44,29M 8S
53,44,29M 8S
53,45,29M 1S
53,46,29M 1S
53,48,28M 13S
55,48,27M 48S
55,51,27M 35S
56,51,27M 17S
57,51,27M 17S
60,51,26M 52S
60,53,26M 40S
60,54,25M 53S
60,57,25M 30S
61,57,25M 17S
61,58,24M 45S
61,59,24M 45S
62,59,24M 28S
63,59,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,59,23M 50S
65,61,23M 12S
65,64,22M 48S
68,64,22M 28S
70,64,21M 46S
70,65,21M 22S
72,65,21M 2S
72,66,20M 54S
74,66,20M 32S
74,69,20M 25S
74,71,20M 1S
74,73,19M 39S
75,73,19M 25S
76,73,19M 25S
77,73,19M 25S
77,75,19M 15S
77,77,18M 41S
80,77,18M 25S
80,79,18M 9S
80,81,17M 50S
80,83,17M 23S
82,83,17M 5S
85,83,16M 18S
85,85,16M 7S
87,85,15M 57S
87,87,15M 27S
89,87,15M 5S
91,87,14M 32S
92,87,13M 21S
92,89,12M 49S
92,91,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,92,11M 50S
92,93,11M 50S
94,93,11M 24S
94,95,11M 15S
94,97,10M 23S
97,97,10M 7S
97,99,9M 49S
99,99,9M 26S
100,99,8M 56S
100,101,8M 46S
102,101,8M 17S
104,101,7M 57S
104,103,7M 50S
106,103,7M 26S
109,103,6M 50S
111,103,6M 8S
113,103,5M 53S
113,105,5M 41S
113,107,5M 8S
115,107,4M 54S
115,110,3M 52S
118,110,3M 4S
118,113,2M 45S
120,113,2M 31S
120,115,2M 18S
122,115,2M 3S
123,115,1M 35S
124,115,1M 35S
124,117,1M 31S
126,117,1M 16S
126,118,1M 10S
128,118,49S
128,120,34S
129,120,29S
130,120,29S
End of 4th quarter,NA,0S
