Minnesota,Brooklyn,time_rem
11-36,32-15,48M 0S
2,0,47M 48S
2,2,47M 24S
4,2,47M 7S
4,4,46M 52S
4,6,46M 29S
7,6,46M 20S
7,8,46M 5S
10,8,45M 51S
10,11,45M 38S
10,13,44M 35S
10,15,43M 39S
13,15,43M 17S
13,17,43M 0S
15,17,42M 49S
15,19,42M 42S
16,19,42M 22S
16,21,42M 8S
16,22,42M 8S
18,22,41M 45S
18,25,41M 6S
20,25,40M 51S
20,28,40M 40S
20,30,40M 8S
21,30,39M 58S
22,30,39M 58S
22,32,38M 46S
22,35,38M 14S
23,35,37M 4S
23,37,36M 28S
24,37,36M 17S
25,37,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,39,35M 41S
25,40,35M 10S
25,41,35M 10S
27,41,34M 43S
27,44,34M 8S
29,44,33M 21S
31,44,31M 53S
34,44,31M 33S
34,46,31M 13S
34,48,30M 38S
37,48,30M 18S
39,48,29M 8S
42,48,28M 38S
42,50,28M 13S
42,51,27M 58S
42,52,27M 58S
42,53,27M 41S
42,54,27M 41S
45,54,26M 56S
45,57,26M 12S
47,57,25M 48S
48,57,25M 48S
48,59,25M 31S
50,59,25M 4S
50,60,24M 50S
50,61,24M 50S
52,61,24M 39S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,63,23M 36S
52,65,23M 14S
54,65,22M 57S
54,66,21M 47S
54,67,21M 47S
54,68,21M 22S
57,68,21M 8S
57,70,20M 51S
58,70,20M 40S
59,70,20M 40S
62,70,19M 37S
64,70,19M 13S
66,70,18M 43S
66,72,18M 15S
67,72,17M 58S
67,75,17M 36S
69,75,17M 25S
69,76,17M 1S
69,77,17M 1S
69,78,17M 1S
71,78,16M 32S
73,78,15M 39S
74,78,15M 39S
74,80,14M 40S
74,82,13M 56S
77,82,13M 45S
77,84,13M 32S
77,85,13M 32S
77,87,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,90,11M 25S
80,90,9M 35S
80,92,9M 14S
82,92,9M 1S
82,93,8M 17S
82,94,8M 17S
85,94,8M 2S
87,94,7M 33S
87,96,7M 18S
90,96,7M 7S
90,98,6M 50S
92,98,6M 28S
92,101,6M 1S
92,103,5M 13S
94,103,4M 46S
95,103,4M 19S
96,103,4M 19S
96,106,3M 51S
98,106,3M 13S
98,108,2M 7S
101,108,1M 55S
103,108,1M 41S
105,108,1M 10S
107,108,58S
107,109,14S
107,110,14S
107,111,8S
107,112,8S
End of 4th quarter,NA,0S
