Milwaukee,Phoenix,time_rem
0-1,1-0,48M 0S
0,0,47M 44S
1,0,47M 44S
3,0,46M 58S
3,2,46M 47S
5,2,46M 35S
5,4,46M 15S
7,4,45M 57S
7,6,45M 29S
7,8,44M 52S
9,8,44M 45S
10,8,44M 13S
10,10,43M 37S
12,10,43M 3S
12,12,42M 17S
12,14,41M 39S
15,14,41M 27S
15,16,41M 6S
18,16,40M 27S
18,17,40M 7S
18,18,40M 7S
20,18,39M 37S
20,21,39M 30S
20,24,39M 2S
22,24,38M 21S
22,25,37M 43S
22,26,37M 43S
24,26,37M 28S
24,27,37M 8S
24,28,37M 8S
26,28,36M 45S
26,30,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,30,35M 25S
29,32,35M 10S
29,35,34M 26S
31,35,34M 2S
34,35,33M 37S
34,37,32M 58S
34,38,32M 24S
34,39,32M 24S
36,39,32M 6S
36,41,31M 56S
38,41,31M 41S
38,43,31M 26S
38,45,30M 55S
40,45,30M 42S
43,45,29M 50S
45,45,29M 19S
45,48,28M 57S
45,49,28M 31S
45,50,28M 31S
47,50,27M 59S
47,52,26M 30S
49,52,26M 8S
49,53,25M 37S
49,54,25M 37S
49,57,25M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,59,23M 38S
52,59,23M 6S
52,62,22M 17S
52,63,22M 17S
52,65,21M 38S
54,65,20M 56S
54,68,20M 33S
57,68,20M 15S
57,70,20M 0S
57,71,19M 43S
57,72,19M 43S
60,72,19M 11S
60,74,18M 28S
62,74,18M 2S
62,76,17M 18S
62,78,16M 49S
65,78,16M 32S
65,81,15M 52S
65,83,15M 21S
68,83,15M 6S
68,86,14M 43S
68,87,14M 20S
68,88,14M 20S
70,88,14M 2S
70,89,13M 42S
70,90,13M 42S
73,90,13M 28S
73,92,13M 4S
76,92,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,92,11M 14S
79,94,10M 26S
81,94,9M 52S
81,95,9M 37S
81,96,9M 37S
82,96,9M 30S
83,96,9M 30S
84,96,8M 58S
85,96,8M 58S
85,98,8M 39S
87,98,8M 29S
87,101,8M 19S
89,101,8M 7S
92,101,7M 46S
94,101,7M 16S
94,104,7M 2S
94,106,6M 7S
96,106,5M 54S
96,108,5M 15S
99,108,5M 0S
99,110,4M 1S
99,112,3M 36S
99,113,3M 36S
100,113,3M 26S
101,113,2M 56S
101,114,1M 58S
101,115,1M 58S
102,115,1M 35S
102,117,1M 15S
105,117,33S
105,118,24S
End of 4th quarter,NA,0S
