Washington,Houston,time_rem
3-10,7-9,48M 0S
0,0,47M 48S
2,0,47M 34S
2,3,47M 20S
5,3,47M 8S
7,3,46M 44S
Jump ball: A. Gill vs. J. Wall (B. Beal gains possession),NA,46M 27S
9,3,46M 13S
9,6,46M 0S
11,6,45M 49S
11,8,45M 6S
11,10,44M 33S
13,10,44M 23S
15,10,43M 36S
15,12,43M 20S
15,13,43M 20S
17,13,42M 43S
19,13,42M 3S
19,15,41M 11S
21,15,40M 58S
21,17,40M 38S
24,17,40M 21S
24,19,39M 9S
24,22,38M 37S
26,22,38M 18S
26,23,37M 7S
29,23,36M 28S
29,26,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,26,35M 30S
31,29,35M 20S
31,30,34M 48S
31,31,34M 48S
31,34,34M 24S
32,34,33M 30S
33,34,33M 30S
33,36,32M 22S
33,38,32M 5S
33,40,31M 42S
35,40,31M 17S
35,42,30M 48S
36,42,30M 32S
37,42,30M 32S
38,42,30M 32S
38,43,29M 51S
38,44,29M 51S
39,44,29M 43S
40,44,29M 43S
43,44,29M 7S
43,46,28M 22S
45,46,28M 7S
45,48,27M 52S
45,51,27M 23S
45,53,26M 45S
47,53,25M 57S
49,53,25M 33S
49,54,24M 30S
51,54,24M 26S
51,56,24M 5S
52,56,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,58,21M 57S
54,58,21M 12S
55,58,19M 57S
56,58,19M 57S
56,61,17M 18S
58,61,17M 0S
58,63,16M 22S
60,63,16M 12S
61,63,15M 45S
62,63,15M 45S
64,63,15M 18S
64,64,14M 49S
64,65,14M 49S
66,65,14M 37S
68,65,14M 10S
68,67,13M 56S
68,68,13M 35S
68,69,13M 35S
70,69,13M 19S
70,71,13M 2S
70,72,12M 39S
70,73,12M 39S
70,75,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,75,11M 27S
72,75,11M 27S
72,76,11M 16S
72,77,11M 16S
72,79,10M 32S
74,79,9M 41S
74,81,9M 26S
74,82,9M 26S
77,82,9M 9S
77,83,8M 20S
79,83,8M 12S
79,85,7M 32S
79,87,6M 26S
79,88,6M 26S
79,90,6M 6S
79,93,5M 44S
80,93,5M 37S
81,93,5M 37S
81,94,5M 24S
82,94,5M 16S
84,94,3M 29S
84,97,3M 14S
84,98,3M 2S
84,99,3M 2S
86,99,2M 51S
88,99,2M 21S
88,101,1M 59S
88,104,1M 22S
88,107,54S
End of 4th quarter,NA,0S
