Cleveland,LA Lakers,time_rem
17-28,29-17,48M 0S
0,2,47M 33S
1,2,46M 55S
2,2,46M 55S
2,4,46M 10S
5,4,45M 52S
5,6,45M 26S
7,6,45M 14S
8,6,44M 39S
8,8,44M 21S
10,8,44M 2S
12,8,43M 34S
12,10,43M 18S
12,12,41M 55S
14,12,41M 40S
16,12,40M 28S
16,14,40M 13S
16,15,39M 57S
18,15,39M 32S
18,16,39M 1S
18,17,38M 33S
18,18,38M 33S
18,20,38M 17S
18,22,37M 22S
19,22,36M 55S
20,22,36M 55S
22,22,36M 34S
24,22,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,24,35M 30S
26,24,35M 18S
26,26,35M 1S
29,26,33M 52S
29,28,33M 13S
31,28,32M 49S
31,30,32M 9S
32,30,31M 55S
33,30,31M 55S
35,30,31M 37S
35,31,31M 22S
35,32,31M 22S
35,34,30M 48S
36,34,30M 47S
36,35,30M 43S
38,35,30M 33S
38,37,30M 21S
40,37,28M 22S
42,37,26M 52S
45,37,26M 16S
47,37,25M 46S
47,40,25M 33S
47,41,25M 8S
47,42,25M 8S
49,42,24M 49S
51,42,24M 33S
51,44,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,46,23M 38S
51,47,23M 15S
51,48,23M 15S
51,51,22M 33S
51,54,21M 16S
53,54,20M 18S
53,56,19M 27S
53,57,18M 38S
53,59,17M 21S
53,61,16M 51S
53,63,16M 19S
55,63,15M 30S
56,63,15M 18S
57,63,15M 18S
57,65,14M 42S
59,65,14M 19S
60,65,14M 2S
61,65,14M 2S
61,67,13M 41S
61,69,13M 28S
61,71,13M 4S
61,72,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
61,73,11M 49S
Jump ball: M. Harrell vs. L. Nance (T. Horton,Tucker gains possession),11M 17S
61,76,11M 1S
61,77,10M 25S
61,78,10M 25S
61,79,10M 25S
62,79,9M 59S
63,79,9M 59S
63,81,9M 36S
65,81,9M 27S
65,84,9M 6S
68,84,8M 47S
68,86,8M 27S
70,86,8M 6S
70,88,7M 47S
71,88,7M 32S
72,88,7M 32S
72,90,7M 2S
73,90,6M 22S
74,90,6M 22S
74,93,5M 37S
76,93,4M 59S
78,93,4M 23S
78,95,3M 24S
80,95,3M 10S
82,95,2M 50S
82,97,2M 12S
82,98,1M 10S
83,98,1M 1S
86,98,31S
86,100,10S
End of 4th quarter,NA,0S
