Indiana,Chicago,time_rem
2-0,0-2,48M 0S
0,3,47M 48S
2,3,47M 27S
4,3,46M 15S
4,4,46M 0S
4,5,46M 0S
6,5,45M 45S
6,7,45M 34S
8,7,45M 23S
8,10,45M 14S
8,13,44M 47S
10,13,44M 27S
10,16,43M 4S
10,18,42M 34S
12,18,42M 17S
14,18,41M 54S
16,18,41M 6S
16,19,40M 12S
18,19,39M 47S
18,20,39M 37S
18,21,39M 37S
20,21,39M 22S
20,23,39M 7S
23,23,38M 47S
23,25,38M 1S
Jump ball: D. Sabonis vs. L. Markkanen (D. McDermott gains possession),NA,37M 41S
25,25,36M 38S
25,27,36M 32S
25,28,36M 32S
27,28,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,28,35M 45S
29,31,35M 31S
29,33,35M 5S
31,33,34M 25S
31,35,34M 18S
33,35,34M 6S
34,35,34M 6S
34,38,33M 29S
34,40,32M 53S
35,40,32M 44S
37,40,32M 33S
38,40,32M 1S
39,40,32M 1S
41,40,31M 55S
43,40,30M 47S
45,40,30M 26S
48,40,30M 4S
49,40,29M 29S
51,40,28M 57S
53,40,28M 47S
55,40,28M 14S
55,42,27M 45S
55,45,27M 21S
56,45,27M 12S
58,45,26M 42S
58,47,26M 19S
59,47,26M 10S
60,47,26M 10S
60,48,25M 35S
60,49,25M 35S
63,49,25M 25S
63,50,25M 16S
63,51,25M 16S
64,51,25M 5S
64,53,24M 52S
66,53,24M 30S
66,56,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,56,23M 48S
72,56,23M 16S
74,56,22M 45S
76,56,22M 14S
78,56,21M 53S
80,56,21M 34S
82,56,20M 52S
84,56,20M 2S
84,58,19M 12S
87,58,18M 9S
88,58,18M 9S
88,61,17M 55S
88,63,17M 29S
90,63,17M 16S
90,65,16M 55S
92,65,16M 9S
94,65,15M 20S
94,68,14M 38S
96,68,14M 20S
96,71,13M 22S
99,71,12M 53S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,71,10M 55S
101,73,10M 41S
103,73,10M 19S
103,76,9M 40S
103,78,9M 28S
103,81,8M 57S
105,81,8M 37S
105,82,8M 26S
105,83,8M 26S
107,83,8M 0S
107,86,7M 51S
107,87,7M 21S
107,88,7M 21S
109,88,7M 2S
112,88,6M 23S
112,91,6M 11S
112,92,5M 52S
112,93,5M 52S
113,93,5M 42S
114,93,5M 42S
114,95,5M 28S
114,96,4M 59S
114,97,4M 59S
114,100,4M 29S
114,102,3M 58S
114,103,3M 58S
116,103,3M 46S
119,103,3M 20S
121,103,2M 15S
121,104,2M 5S
121,105,2M 5S
121,106,1M 44S
123,106,1M 31S
125,106,27S
End of 4th quarter,NA,0S
