Sacramento,Indiana,time_rem
29-37,30-35,48M 0S
0,0,47M 36S
0,2,47M 20S
2,2,47M 4S
2,5,46M 54S
4,5,46M 32S
4,6,45M 55S
4,7,45M 55S
6,7,45M 43S
6,10,45M 10S
6,12,44M 14S
8,12,43M 58S
10,12,43M 20S
12,12,42M 50S
12,14,42M 40S
14,14,41M 30S
16,14,41M 12S
16,16,40M 59S
18,16,40M 29S
20,16,40M 15S
22,16,39M 20S
22,17,39M 2S
22,18,39M 2S
22,20,38M 40S
22,22,38M 21S
25,22,38M 9S
25,24,37M 56S
25,26,37M 27S
28,26,36M 50S
30,26,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,29,35M 12S
32,29,34M 52S
32,31,34M 36S
32,33,34M 16S
34,33,33M 57S
36,33,33M 36S
36,35,32M 33S
38,35,31M 21S
38,38,31M 4S
40,38,29M 16S
42,38,28M 7S
44,38,27M 31S
44,40,27M 20S
46,40,26M 32S
46,41,26M 25S
48,41,26M 12S
48,43,25M 36S
51,43,25M 20S
54,43,25M 6S
54,45,24M 44S
56,45,24M 31S
56,47,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,47,23M 20S
58,49,23M 5S
61,49,22M 49S
63,49,22M 34S
63,51,22M 2S
65,51,21M 32S
65,52,20M 54S
65,53,20M 54S
67,53,20M 32S
67,56,20M 14S
69,56,19M 49S
71,56,18M 53S
74,56,18M 35S
76,56,17M 6S
Jump ball: G. Bitadze vs. R. Holmes (J. Holiday gains possession),NA,15M 55S
78,56,15M 38S
80,56,15M 5S
80,59,14M 50S
80,61,14M 3S
80,64,13M 39S
83,64,13M 25S
83,66,13M 14S
85,66,12M 36S
85,68,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,70,11M 20S
86,70,11M 0S
87,70,11M 0S
87,72,10M 47S
87,73,9M 51S
88,73,9M 38S
89,73,9M 38S
92,73,9M 22S
93,73,7M 58S
93,76,7M 44S
95,76,7M 20S
97,76,6M 50S
97,78,6M 35S
98,78,5M 47S
99,78,5M 47S
101,78,5M 18S
101,79,5M 7S
101,80,5M 7S
102,80,4M 54S
102,82,4M 39S
102,84,4M 18S
102,86,2M 33S
102,87,2M 33S
103,87,59S
104,87,59S
104,88,58S
104,90,34S
104,93,6S
End of 4th quarter,NA,0S
