Utah,Washington,time_rem
29-11,15-25,48M 0S
0,0,47M 47S
0,2,47M 34S
0,4,47M 7S
0,5,46M 41S
0,6,46M 41S
3,6,46M 24S
6,6,45M 51S
6,8,45M 43S
8,8,45M 35S
8,10,44M 53S
10,10,44M 40S
12,10,44M 7S
12,12,43M 30S
12,14,43M 3S
12,16,42M 28S
12,19,42M 9S
12,21,41M 50S
12,23,41M 2S
15,23,40M 2S
15,24,39M 25S
15,25,39M 25S
17,25,38M 5S
17,27,37M 53S
20,27,37M 34S
20,29,37M 17S
20,31,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,34,35M 15S
20,35,34M 39S
20,36,34M 39S
22,36,34M 23S
25,36,33M 53S
25,38,33M 36S
27,38,33M 2S
27,39,32M 13S
27,40,32M 13S
27,43,31M 31S
30,43,31M 10S
30,45,30M 51S
30,47,30M 17S
30,49,29M 54S
31,49,29M 41S
32,49,29M 41S
32,51,29M 22S
34,51,29M 7S
34,54,28M 47S
36,54,28M 36S
36,56,28M 0S
36,58,27M 6S
38,58,26M 50S
38,60,26M 23S
38,62,25M 50S
40,62,25M 32S
40,63,25M 16S
40,64,25M 16S
43,64,25M 3S
46,64,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,65,22M 33S
46,66,22M 33S
49,66,22M 23S
49,68,21M 38S
51,68,21M 4S
53,68,20M 41S
54,68,20M 41S
54,69,20M 28S
56,69,20M 18S
56,71,20M 2S
56,73,19M 39S
59,73,19M 31S
59,75,19M 14S
62,75,18M 47S
62,76,18M 0S
62,77,18M 0S
64,77,17M 49S
66,77,17M 20S
66,79,17M 8S
67,79,17M 2S
68,79,17M 2S
69,79,16M 39S
70,79,16M 39S
70,81,16M 24S
73,81,16M 11S
73,83,16M 1S
75,83,15M 54S
75,85,15M 41S
77,85,15M 26S
77,88,15M 10S
77,89,15M 10S
79,89,14M 57S
79,90,14M 45S
79,91,14M 45S
79,93,14M 11S
79,95,13M 54S
79,97,13M 44S
82,97,13M 22S
82,99,12M 29S
82,100,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,103,11M 39S
85,103,11M 7S
85,105,10M 51S
86,105,10M 30S
87,105,10M 30S
87,106,10M 22S
87,107,9M 46S
89,107,9M 31S
92,107,9M 7S
92,109,8M 35S
93,109,8M 26S
95,109,8M 7S
95,111,7M 52S
97,111,7M 37S
97,112,7M 24S
99,112,7M 8S
102,112,6M 44S
105,112,6M 20S
105,115,5M 53S
105,116,4M 58S
107,116,4M 39S
108,116,4M 39S
108,118,4M 22S
108,120,3M 58S
111,120,3M 47S
111,122,3M 27S
111,123,3M 27S
112,123,3M 17S
112,124,3M 4S
112,125,3M 4S
113,125,2M 56S
114,125,2M 11S
114,127,1M 53S
116,127,1M 45S
117,127,1M 16S
118,127,1M 16S
118,128,1M 14S
118,129,1M 14S
120,129,1M 3S
120,130,57S
120,131,57S
122,131,0S
End of 4th quarter,NA,0S
