Detroit,Orlando,time_rem
9-22,13-19,48M 0S
2,0,47M 41S
2,3,47M 24S
4,3,47M 7S
4,4,46M 51S
7,4,45M 51S
10,4,45M 12S
12,4,44M 33S
14,4,44M 10S
14,6,43M 57S
16,6,43M 41S
18,6,43M 14S
18,9,42M 30S
18,11,41M 29S
20,11,41M 1S
22,11,40M 22S
23,11,40M 22S
26,11,39M 47S
26,14,39M 24S
27,14,39M 11S
27,16,38M 56S
27,19,38M 8S
29,19,37M 25S
29,22,37M 14S
31,22,36M 33S
34,22,36M 5S
34,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,26,35M 30S
36,26,34M 53S
36,27,34M 36S
36,28,34M 36S
36,30,34M 13S
36,31,33M 53S
36,32,33M 53S
36,34,33M 1S
38,34,32M 44S
39,34,32M 44S
41,34,31M 45S
43,34,30M 59S
43,36,30M 44S
46,36,30M 36S
46,39,29M 14S
46,42,28M 45S
46,43,27M 43S
48,43,27M 35S
49,43,27M 35S
49,44,27M 23S
51,44,27M 9S
51,47,26M 54S
51,48,26M 24S
53,48,26M 4S
53,51,24M 56S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,53,23M 41S
56,53,23M 24S
58,53,22M 40S
58,55,20M 45S
59,55,20M 33S
60,55,20M 33S
61,55,19M 26S
62,55,19M 26S
64,55,18M 56S
66,55,18M 23S
66,57,18M 9S
69,57,16M 56S
69,59,16M 30S
69,61,16M 6S
71,61,15M 48S
73,61,15M 0S
73,63,14M 43S
75,63,12M 54S
75,65,12M 39S
76,65,12M 23S
77,65,12M 23S
79,65,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,65,11M 41S
82,65,11M 41S
82,66,11M 25S
84,66,11M 14S
84,68,10M 2S
84,71,9M 0S
87,71,8M 39S
87,74,7M 56S
89,74,7M 35S
91,74,7M 13S
91,76,6M 50S
93,76,6M 37S
93,77,6M 23S
95,77,5M 22S
97,77,5M 2S
97,78,4M 55S
97,79,4M 55S
97,81,4M 33S
100,81,4M 15S
100,83,3M 56S
101,83,3M 40S
102,83,3M 40S
102,86,3M 29S
102,87,3M 0S
105,87,1M 22S
105,90,1M 13S
105,93,39S
End of 4th quarter,NA,0S
