Memphis,Phoenix,time_rem
17-19,26-12,48M 0S
2,0,47M 36S
2,2,47M 13S
4,2,46M 50S
6,2,46M 21S
8,2,45M 52S
8,4,45M 5S
10,4,44M 52S
10,6,44M 40S
12,6,43M 54S
12,7,43M 35S
12,8,43M 35S
12,10,43M 2S
13,10,42M 38S
15,10,42M 7S
15,12,41M 53S
15,14,41M 16S
17,14,40M 13S
19,14,39M 32S
21,14,38M 54S
21,16,37M 36S
21,17,37M 36S
21,20,37M 12S
23,20,36M 52S
23,22,36M 37S
23,23,36M 7S
23,24,36M 7S
25,24,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,27,35M 47S
27,27,35M 32S
27,29,35M 8S
30,29,34M 52S
30,31,34M 37S
30,33,34M 6S
32,33,33M 45S
32,35,33M 23S
33,35,33M 5S
34,35,33M 5S
35,35,32M 30S
36,35,32M 30S
37,35,32M 30S
37,37,31M 56S
37,40,31M 14S
39,40,31M 3S
39,42,30M 54S
41,42,30M 42S
41,44,30M 27S
43,44,30M 11S
43,46,29M 51S
45,46,29M 32S
46,46,27M 50S
46,48,27M 38S
46,50,26M 59S
46,51,26M 38S
46,52,26M 38S
46,54,26M 11S
47,54,25M 50S
48,54,25M 50S
50,54,25M 33S
50,57,25M 16S
50,60,24M 52S
52,60,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,60,23M 38S
54,62,23M 18S
57,62,23M 1S
59,62,22M 20S
60,62,22M 20S
60,64,22M 7S
62,64,21M 55S
62,66,21M 47S
62,68,21M 15S
62,71,20M 48S
64,71,20M 20S
64,74,20M 5S
64,76,19M 29S
66,76,19M 15S
66,77,18M 8S
66,78,18M 8S
68,78,17M 53S
68,80,17M 23S
70,80,17M 5S
70,83,16M 39S
70,84,16M 22S
71,84,16M 10S
72,84,16M 10S
72,87,15M 36S
73,87,15M 23S
74,87,15M 23S
74,89,15M 2S
74,91,14M 10S
75,91,13M 53S
77,91,13M 19S
77,93,12M 55S
77,96,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,98,11M 8S
78,98,10M 57S
78,100,10M 46S
79,100,9M 58S
79,102,9M 47S
81,102,9M 5S
83,102,8M 35S
83,103,8M 16S
83,104,8M 16S
85,104,7M 32S
85,106,7M 14S
85,107,7M 14S
87,107,6M 52S
87,109,6M 42S
87,112,5M 55S
87,114,5M 33S
87,115,5M 11S
90,115,4M 52S
93,115,4M 31S
96,115,3M 32S
96,117,3M 15S
96,118,3M 15S
96,119,2M 12S
96,122,1M 35S
97,122,58S
99,122,31S
End of 4th quarter,NA,0S
