Atlanta,Philadelphia,time_rem
1-0,0-1,48M 0S
3,0,47M 43S
3,2,47M 23S
3,4,46M 28S
6,4,46M 7S
6,5,45M 57S
6,6,45M 57S
8,6,45M 48S
8,8,45M 0S
8,11,44M 40S
10,11,44M 26S
12,11,44M 4S
12,13,43M 43S
14,13,43M 31S
17,13,43M 9S
17,16,42M 54S
20,16,42M 31S
20,18,42M 17S
22,18,41M 46S
24,18,41M 12S
26,18,40M 12S
26,19,39M 55S
26,20,39M 55S
29,20,39M 44S
31,20,39M 25S
31,22,39M 4S
34,22,38M 51S
34,24,38M 1S
36,24,37M 42S
36,27,37M 23S
37,27,36M 42S
38,27,36M 42S
39,27,36M 31S
40,27,36M 31S
42,27,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
45,27,34M 37S
47,27,34M 17S
50,27,33M 51S
53,27,33M 22S
53,29,31M 42S
55,29,31M 31S
55,31,31M 6S
56,31,30M 54S
57,31,30M 54S
57,34,30M 37S
57,36,30M 20S
58,36,30M 7S
59,36,30M 7S
60,36,30M 7S
60,38,28M 25S
60,40,27M 59S
62,40,27M 50S
62,41,26M 49S
62,42,26M 49S
65,42,26M 37S
65,45,26M 19S
65,47,25M 53S
65,48,25M 39S
65,49,25M 39S
68,49,25M 27S
68,51,25M 13S
71,51,24M 59S
71,53,24M 46S
74,53,24M 29S
74,54,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,55,23M 43S
74,56,23M 43S
74,58,23M 2S
77,58,22M 48S
79,58,22M 16S
79,60,22M 6S
79,62,21M 39S
79,64,20M 43S
81,64,19M 22S
82,64,18M 49S
83,64,18M 49S
86,64,18M 30S
89,64,17M 53S
89,66,17M 40S
91,66,17M 14S
91,69,17M 0S
91,71,16M 29S
92,71,16M 17S
92,73,15M 59S
95,73,15M 47S
95,75,15M 30S
97,75,15M 10S
97,77,14M 51S
97,78,14M 51S
97,79,14M 30S
97,80,14M 30S
97,81,14M 6S
97,82,14M 6S
98,82,13M 58S
99,82,13M 58S
99,83,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,83,11M 9S
102,85,10M 49S
102,88,9M 36S
104,88,9M 7S
105,88,9M 7S
Jump ball: B. Simmons vs. J. Collins (M. Thybulle gains possession),NA,8M 49S
107,88,8M 23S
107,90,8M 10S
107,93,7M 46S
109,93,6M 57S
109,95,6M 38S
109,97,6M 9S
112,97,5M 49S
114,97,5M 21S
114,99,5M 5S
116,99,4M 42S
116,102,4M 31S
116,104,3M 55S
118,104,3M 32S
118,105,3M 13S
118,106,3M 13S
118,107,2M 15S
118,108,2M 15S
118,111,1M 41S
118,113,1M 8S
118,115,1M 1S
121,115,41S
121,116,38S
121,118,28S
122,118,23S
123,118,23S
125,118,16S
126,118,16S
126,119,14S
126,121,14S
126,122,14S
126,124,10S
127,124,8S
128,124,8S
End of 4th quarter,NA,0S
