New York,Houston,time_rem
36-28,16-49,48M 0S
0,0,47M 34S
0,2,47M 2S
0,3,47M 2S
3,3,46M 40S
5,3,46M 14S
5,5,45M 46S
7,5,45M 4S
7,7,44M 49S
10,7,44M 33S
10,8,44M 25S
10,9,44M 25S
10,11,44M 9S
10,13,43M 31S
10,15,43M 4S
12,15,42M 51S
15,15,42M 21S
18,15,41M 25S
18,16,41M 12S
20,16,41M 0S
23,16,40M 39S
26,16,40M 10S
26,18,39M 54S
28,18,39M 37S
28,21,39M 18S
29,21,39M 7S
30,21,39M 7S
30,22,38M 53S
32,22,37M 54S
32,24,37M 44S
34,24,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,24,34M 42S
36,24,34M 42S
36,27,34M 23S
37,27,33M 58S
37,29,33M 14S
38,29,33M 8S
39,29,33M 8S
42,29,32M 38S
44,29,32M 5S
44,30,31M 22S
44,31,31M 22S
46,31,30M 21S
46,33,29M 33S
48,33,29M 14S
48,35,28M 57S
50,35,28M 21S
50,37,27M 56S
52,37,27M 40S
53,37,27M 25S
54,37,27M 25S
54,39,27M 0S
57,39,26M 50S
57,42,26M 37S
57,44,24M 52S
59,44,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,44,23M 42S
62,44,23M 42S
62,46,23M 29S
62,48,22M 31S
64,48,22M 9S
64,50,22M 1S
66,50,21M 48S
66,52,21M 26S
66,53,20M 54S
66,54,20M 54S
69,54,20M 37S
69,57,20M 18S
71,57,20M 3S
71,58,19M 50S
71,59,19M 50S
73,59,19M 38S
73,60,19M 21S
73,61,19M 21S
Jump ball: J. Randle vs. C. Wood (E. Payton gains possession),NA,18M 52S
73,62,18M 0S
73,64,17M 35S
75,64,17M 16S
78,64,16M 19S
81,64,15M 50S
81,66,15M 29S
84,66,15M 1S
87,66,14M 25S
88,66,14M 10S
88,68,13M 57S
90,68,13M 5S
92,68,12M 34S
93,68,12M 34S
93,71,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,71,11M 36S
96,72,11M 25S
98,72,11M 9S
98,74,10M 51S
100,74,10M 38S
100,76,10M 20S
102,76,9M 58S
102,78,9M 49S
105,78,9M 28S
107,78,8M 51S
110,78,8M 13S
110,79,7M 40S
110,80,7M 40S
110,82,7M 6S
112,82,6M 42S
115,82,6M 4S
117,82,5M 30S
117,84,4M 49S
117,87,3M 52S
120,87,3M 37S
120,90,2M 37S
120,91,1M 48S
120,92,1M 48S
120,93,1M 5S
120,94,1M 5S
121,94,43S
122,94,43S
122,97,2S
End of 4th quarter,NA,0S
