LA Lakers,Minnesota,time_rem
22-7,7-21,48M 0S
0,0,47M 46S
0,3,47M 18S
0,5,46M 46S
2,5,46M 30S
2,7,46M 17S
4,7,45M 52S
6,7,45M 7S
9,7,44M 28S
9,10,44M 14S
11,10,44M 3S
11,12,43M 47S
11,15,43M 22S
13,15,43M 4S
13,17,42M 43S
13,18,42M 11S
15,18,41M 59S
15,20,41M 36S
17,20,41M 25S
Jump ball: D. Schröder vs. M. Beasley (K. Caldwell,Pope gains possession),41M 8S
20,20,40M 52S
22,20,40M 11S
22,22,39M 56S
23,22,39M 6S
24,22,39M 6S
26,22,37M 12S
26,23,37M 0S
26,24,37M 0S
27,24,36M 46S
28,24,36M 46S
30,24,36M 20S
30,27,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,29,35M 18S
32,29,34M 57S
34,29,34M 28S
34,32,34M 15S
35,32,33M 59S
36,32,33M 59S
36,35,33M 29S
39,35,33M 9S
39,37,32M 55S
39,38,32M 55S
40,38,32M 39S
40,41,32M 23S
41,41,32M 9S
42,41,32M 9S
42,43,31M 55S
44,43,31M 23S
44,44,31M 9S
44,45,31M 9S
44,47,30M 36S
44,49,30M 5S
44,52,29M 18S
46,52,28M 6S
48,52,27M 37S
48,54,26M 44S
49,54,26M 9S
50,54,26M 9S
53,54,25M 28S
53,56,25M 1S
55,56,24M 44S
57,56,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,56,23M 41S
59,58,23M 22S
59,60,23M 1S
62,60,22M 45S
62,62,22M 26S
64,62,22M 13S
64,64,21M 46S
66,64,21M 35S
66,66,21M 8S
68,66,20M 48S
68,68,20M 22S
68,71,19M 55S
68,72,19M 25S
71,72,19M 12S
71,75,18M 56S
73,75,17M 38S
73,77,16M 10S
74,77,15M 9S
75,77,15M 9S
76,77,14M 47S
77,77,14M 47S
77,78,14M 30S
77,79,14M 30S
77,81,13M 56S
80,81,13M 44S
81,81,13M 13S
83,81,12M 55S
86,81,12M 32S
86,84,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,84,11M 26S
90,84,10M 34S
90,86,10M 19S
92,86,9M 38S
92,89,9M 16S
94,89,8M 59S
95,89,8M 59S
98,89,8M 16S
100,89,7M 15S
103,89,6M 43S
103,92,6M 1S
103,94,5M 24S
105,94,4M 27S
105,97,4M 10S
105,100,3M 28S
107,100,2M 7S
110,100,1M 20S
112,100,51S
112,101,44S
112,104,8S
End of 4th quarter,NA,0S
