Utah,Boston,time_rem
29-10,20-19,48M 0S
0,0,47M 42S
0,2,47M 32S
2,2,46M 42S
2,4,46M 30S
5,4,45M 39S
5,6,45M 5S
5,8,44M 42S
5,10,44M 28S
5,12,43M 59S
5,14,42M 46S
5,16,41M 48S
7,16,40M 57S
7,18,40M 33S
10,18,40M 14S
13,18,39M 31S
13,20,38M 36S
15,20,37M 49S
17,20,37M 14S
17,22,37M 1S
20,22,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,22,35M 45S
22,24,35M 25S
22,26,34M 48S
24,26,34M 28S
24,29,34M 10S
27,29,33M 52S
27,31,33M 35S
30,31,33M 17S
30,33,33M 1S
33,33,32M 48S
36,33,31M 58S
36,36,31M 44S
36,38,31M 6S
36,40,30M 32S
37,40,30M 20S
38,40,30M 20S
38,42,30M 4S
41,42,29M 51S
41,45,29M 31S
41,47,29M 2S
43,47,28M 42S
43,49,28M 18S
43,51,27M 46S
45,51,27M 31S
48,51,26M 57S
50,51,25M 59S
51,51,25M 11S
52,51,25M 11S
52,53,24M 20S
53,53,24M 1S
54,53,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,56,23M 39S
56,56,23M 18S
59,56,22M 41S
59,58,22M 19S
59,59,22M 19S
60,59,22M 7S
62,59,21M 28S
65,59,19M 59S
65,61,19M 37S
66,61,19M 24S
66,63,19M 9S
68,63,16M 38S
70,63,16M 4S
70,65,15M 43S
72,65,15M 23S
72,68,15M 1S
73,68,14M 35S
74,68,14M 35S
75,68,14M 35S
75,70,14M 22S
75,72,13M 58S
75,75,13M 29S
75,76,13M 29S
77,76,13M 17S
77,79,12M 52S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,79,11M 47S
82,79,11M 7S
82,81,10M 41S
85,81,10M 22S
87,81,9M 52S
89,81,9M 16S
90,81,9M 16S
90,83,9M 5S
92,83,8M 35S
92,86,8M 8S
95,86,7M 51S
95,88,7M 5S
95,89,7M 5S
98,89,6M 51S
98,91,6M 27S
98,93,6M 12S
98,95,5M 22S
98,97,4M 10S
101,97,3M 49S
104,97,3M 23S
104,99,2M 59S
104,101,2M 35S
107,101,1M 4S
108,101,50S
109,101,50S
109,103,44S
110,103,40S
111,103,40S
112,103,31S
113,103,31S
113,106,24S
114,106,20S
115,106,20S
115,109,14S
116,109,10S
117,109,10S
End of 4th quarter,NA,0S
