Houston,Orlando,time_rem
15-42,18-39,48M 0S
0,0,47M 49S
2,0,47M 38S
2,2,47M 21S
4,2,47M 4S
4,4,46M 46S
4,7,46M 17S
6,7,45M 58S
6,9,45M 32S
8,9,45M 20S
10,9,44M 23S
10,10,43M 48S
10,11,43M 48S
10,13,43M 22S
13,13,42M 19S
13,16,41M 30S
14,16,40M 33S
15,16,40M 33S
17,16,39M 54S
17,18,39M 46S
17,21,39M 31S
20,21,39M 20S
21,21,38M 29S
21,24,38M 16S
23,24,37M 59S
23,26,37M 13S
25,26,36M 36S
25,28,36M 24S
28,28,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,28,35M 11S
32,28,34M 53S
32,31,34M 36S
32,34,33M 51S
32,35,33M 10S
32,36,33M 10S
32,38,32M 47S
34,38,32M 25S
34,40,32M 4S
37,40,31M 38S
Jump ball: R. Franks vs. K. Olynyk (G. Harris gains possession),NA,30M 21S
37,43,29M 28S
40,43,29M 16S
40,45,28M 32S
40,47,27M 45S
40,49,27M 14S
40,50,26M 58S
40,51,26M 58S
42,51,26M 46S
42,53,25M 52S
42,54,25M 51S
44,54,25M 43S
46,54,25M 25S
46,57,25M 3S
47,57,24M 54S
50,57,24M 31S
50,58,24M 16S
50,59,24M 16S
53,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,59,23M 18S
55,61,23M 5S
57,61,22M 57S
57,63,22M 45S
59,63,22M 21S
Jump ball: W. Carter vs. C. Wood (D. Bacon gains possession),NA,21M 54S
62,63,21M 25S
64,63,20M 26S
66,63,20M 5S
69,63,19M 32S
69,65,19M 9S
72,65,18M 31S
74,65,17M 53S
75,65,17M 29S
75,68,17M 20S
75,70,16M 53S
78,70,16M 6S
79,70,15M 40S
80,70,15M 40S
80,72,15M 20S
80,73,14M 46S
80,74,14M 46S
82,74,14M 9S
85,74,12M 50S
85,76,12M 15S
85,77,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,77,11M 33S
90,77,10M 59S
90,79,10M 48S
93,79,10M 34S
93,81,10M 4S
93,83,9M 40S
93,84,9M 40S
96,84,9M 24S
96,86,9M 4S
96,88,8M 20S
96,91,7M 50S
98,91,7M 35S
98,93,6M 21S
100,93,6M 5S
100,95,5M 53S
102,95,5M 44S
102,96,5M 29S
102,97,5M 29S
102,99,5M 5S
105,99,4M 45S
105,101,4M 3S
106,101,3M 42S
107,101,3M 42S
107,103,3M 18S
108,103,3M 3S
108,104,2M 12S
108,105,2M 12S
110,105,39S
110,108,28S
111,108,14S
112,108,14S
112,110,7S
113,110,7S
114,110,7S
End of 4th quarter,NA,0S
