Memphis,Denver,time_rem
29-27,37-20,48M 0S
0,0,47M 48S
2,0,47M 15S
2,2,46M 54S
2,5,46M 28S
2,8,45M 50S
2,9,45M 14S
2,10,45M 14S
2,11,45M 14S
4,11,44M 5S
4,13,43M 52S
6,13,43M 38S
8,13,43M 12S
8,15,42M 35S
10,15,42M 15S
13,15,41M 48S
13,17,41M 34S
13,19,41M 0S
16,19,40M 32S
17,19,40M 13S
19,19,39M 39S
19,21,39M 27S
22,21,38M 44S
24,21,38M 22S
24,23,38M 8S
27,23,37M 50S
27,25,37M 7S
29,25,36M 58S
32,25,36M 31S
35,25,36M 5S
35,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,28,35M 43S
35,29,35M 43S
35,31,34M 38S
35,33,34M 2S
37,33,33M 41S
37,36,33M 0S
37,37,32M 30S
37,39,32M 1S
37,41,31M 30S
40,41,30M 16S
40,43,29M 58S
40,44,29M 58S
43,44,29M 44S
44,44,29M 0S
45,44,29M 0S
46,44,29M 0S
49,44,28M 30S
51,44,28M 11S
54,44,27M 29S
54,46,27M 13S
56,46,26M 56S
56,48,26M 35S
56,49,26M 35S
58,49,26M 6S
58,50,25M 57S
58,51,25M 24S
58,54,24M 59S
58,56,24M 23S
59,56,24M 4S
60,56,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,56,23M 29S
62,58,23M 4S
62,59,23M 4S
63,59,22M 55S
64,59,22M 55S
66,59,22M 11S
67,59,21M 42S
70,59,21M 16S
72,59,20M 51S
72,62,20M 6S
72,65,19M 45S
72,68,19M 7S
73,68,18M 54S
74,68,18M 54S
74,70,18M 43S
76,70,18M 5S
76,72,17M 47S
78,72,17M 36S
80,72,17M 17S
80,74,16M 53S
80,75,16M 41S
80,76,16M 41S
80,78,15M 39S
80,79,15M 39S
82,79,15M 20S
82,81,14M 55S
84,81,14M 40S
85,81,14M 21S
86,81,14M 21S
86,82,13M 58S
86,83,13M 58S
86,85,13M 21S
89,85,13M 7S
91,85,12M 50S
91,86,12M 41S
91,87,12M 41S
93,87,12M 33S
95,87,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,87,11M 29S
97,90,11M 2S
97,92,9M 56S
Jump ball: D. Melton vs. S. Harrison (J. Winslow gains possession),NA,9M 38S
99,92,8M 59S
99,94,8M 39S
102,94,8M 29S
104,94,8M 5S
104,96,7M 51S
104,99,7M 10S
106,99,6M 49S
106,102,6M 20S
108,102,5M 40S
111,102,5M 0S
112,102,4M 22S
114,102,3M 52S
114,105,3M 35S
114,107,2M 56S
114,109,1M 51S
114,111,1M 26S
116,111,1M 5S
116,114,52S
116,115,20S
116,116,20S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
116,118,4M 37S
118,118,3M 54S
118,120,3M 36S
120,120,3M 24S
122,120,2M 51S
125,120,2M 9S
125,122,1M 29S
125,125,12S
End of 1st overtime,NA,0S
Start of 2nd overtime,NA,5M 0S
125,127,4M 35S
125,129,3M 59S
126,129,3M 13S
127,129,3M 13S
130,129,2M 50S
131,129,2M 14S
132,129,2M 14S
132,132,1M 50S
132,134,1M 9S
134,134,52S
134,137,42S
134,138,9S
134,139,9S
137,139,0S
End of 2nd overtime,NA,0S
