New York,Cleveland,time_rem
5-8,6-7,48M 0S
0,0,47M 32S
0,2,46M 56S
0,5,45M 47S
2,5,45M 30S
2,7,45M 17S
4,7,44M 58S
6,7,44M 9S
6,10,43M 49S
6,12,43M 13S
9,12,42M 26S
9,14,42M 8S
11,14,41M 45S
13,14,41M 21S
13,15,40M 45S
13,16,40M 45S
13,18,40M 23S
14,18,40M 8S
15,18,40M 8S
15,20,39M 53S
17,20,39M 30S
17,22,39M 15S
20,22,38M 37S
20,23,38M 14S
21,23,37M 51S
22,23,37M 51S
22,25,37M 31S
25,25,37M 22S
25,26,36M 36S
25,27,36M 4S
25,28,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,28,35M 38S
29,28,34M 59S
31,28,34M 20S
31,30,33M 26S
31,33,33M 4S
32,33,32M 20S
33,33,32M 20S
36,33,31M 40S
39,33,30M 56S
39,34,30M 32S
39,37,30M 18S
41,37,29M 58S
41,39,29M 44S
43,39,29M 35S
43,40,29M 11S
43,41,29M 11S
46,41,28M 59S
46,44,28M 38S
46,46,28M 3S
46,47,28M 3S
46,49,27M 40S
48,49,27M 16S
48,50,26M 31S
48,51,26M 31S
50,51,26M 20S
50,52,26M 9S
50,53,26M 9S
50,54,25M 58S
50,55,25M 58S
52,55,24M 45S
53,55,24M 45S
53,57,24M 29S
55,57,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,59,23M 41S
58,59,23M 23S
60,59,22M 40S
62,59,22M 14S
62,61,21M 8S
64,61,20M 53S
64,62,20M 39S
64,64,20M 19S
64,66,19M 39S
66,66,19M 17S
66,68,18M 50S
66,70,18M 18S
66,73,17M 57S
66,76,16M 41S
68,76,16M 2S
68,78,15M 47S
68,80,15M 15S
71,80,14M 51S
74,80,14M 29S
76,80,13M 54S
78,80,12M 47S
80,80,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,80,11M 16S
84,80,10M 55S
84,83,9M 55S
84,85,9M 20S
84,87,8M 10S
84,89,7M 25S
86,89,6M 53S
86,91,6M 44S
87,91,5M 52S
88,91,5M 52S
88,93,5M 27S
89,93,4M 38S
91,93,3M 55S
91,94,3M 41S
91,95,3M 41S
92,95,3M 0S
93,95,3M 0S
93,98,2M 46S
94,98,2M 25S
95,98,2M 25S
97,98,1M 52S
97,99,1M 19S
97,100,1M 19S
97,102,1M 5S
99,102,56S
99,103,23S
99,104,16S
101,104,9S
101,105,7S
101,106,7S
103,106,1S
End of 4th quarter,NA,0S
