Detroit,Golden State,time_rem
5-15,11-9,48M 0S
0,3,47M 43S
3,3,46M 56S
3,6,46M 39S
3,8,44M 37S
3,10,44M 16S
3,13,43M 30S
5,13,43M 11S
5,15,42M 31S
6,15,42M 7S
7,15,42M 7S
7,17,42M 0S
10,17,41M 42S
10,19,41M 26S
10,21,41M 4S
12,21,40M 33S
12,23,40M 21S
14,23,39M 1S
14,25,37M 21S
15,25,36M 53S
15,27,36M 40S
17,27,36M 27S
17,29,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,31,35M 23S
19,31,35M 7S
19,34,34M 52S
21,34,33M 53S
21,36,33M 44S
22,36,33M 22S
23,36,33M 22S
25,36,32M 48S
25,37,32M 35S
25,38,32M 35S
25,39,32M 35S
28,39,32M 21S
28,41,31M 37S
29,41,30M 31S
30,41,30M 31S
30,43,30M 16S
31,43,29M 57S
31,45,29M 48S
34,45,29M 14S
34,46,28M 55S
34,47,28M 55S
36,47,28M 43S
36,49,28M 25S
36,52,28M 3S
37,52,27M 46S
37,54,27M 33S
37,57,26M 38S
39,57,26M 17S
39,59,26M 2S
39,62,25M 35S
41,62,25M 9S
42,62,24M 59S
43,62,24M 59S
45,62,24M 45S
45,64,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,66,23M 23S
47,66,21M 59S
47,68,21M 39S
47,71,20M 42S
47,74,20M 13S
48,74,19M 59S
49,74,19M 59S
49,77,19M 14S
50,77,19M 1S
51,77,19M 1S
51,79,18M 47S
51,81,18M 21S
51,82,18M 21S
52,82,18M 7S
53,82,17M 35S
54,82,17M 35S
54,84,16M 51S
55,84,16M 32S
56,84,16M 32S
57,84,16M 4S
58,84,16M 4S
58,86,15M 41S
58,89,14M 54S
60,89,14M 33S
62,89,14M 7S
62,92,13M 54S
62,94,13M 8S
65,94,12M 54S
68,94,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,97,11M 47S
69,97,11M 21S
69,100,11M 4S
71,100,10M 21S
71,103,9M 14S
74,103,8M 36S
74,104,8M 15S
76,104,7M 59S
76,106,7M 39S
76,109,6M 42S
76,111,6M 6S
78,111,5M 50S
81,111,5M 11S
83,111,4M 37S
85,111,4M 3S
85,113,3M 35S
85,116,2M 12S
86,116,1M 57S
88,116,1M 28S
91,116,52S
91,118,30S
End of 4th quarter,NA,0S
