Sacramento,Chicago,time_rem
12-17,13-16,48M 0S
2,0,47M 45S
2,2,46M 56S
2,5,46M 31S
2,7,45M 53S
5,7,45M 33S
5,9,44M 26S
5,10,44M 26S
7,10,44M 7S
9,10,43M 40S
10,10,43M 40S
10,12,42M 49S
12,12,42M 30S
12,14,42M 12S
15,14,41M 56S
15,16,41M 33S
17,16,41M 0S
17,18,40M 37S
17,20,39M 46S
17,22,39M 6S
19,22,38M 31S
19,24,38M 19S
19,25,37M 54S
19,26,37M 54S
19,28,37M 3S
21,28,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,30,35M 39S
23,30,35M 25S
26,30,35M 0S
26,32,34M 38S
28,32,34M 26S
28,35,34M 12S
31,35,33M 52S
31,37,33M 27S
Jump ball: T. Young vs. N. Bjelica (P. Williams gains possession),NA,33M 9S
31,40,32M 22S
31,42,31M 29S
33,42,31M 11S
33,44,30M 44S
33,46,30M 16S
35,46,29M 51S
35,49,29M 38S
37,49,29M 16S
37,50,28M 54S
37,51,28M 54S
39,51,28M 41S
40,51,28M 13S
41,51,28M 13S
41,54,27M 58S
42,54,27M 49S
43,54,27M 49S
43,56,27M 31S
45,56,27M 20S
45,59,27M 4S
46,59,26M 52S
47,59,26M 52S
47,60,26M 40S
47,61,26M 40S
49,61,26M 28S
49,63,26M 7S
52,63,25M 31S
52,65,25M 16S
54,65,25M 4S
56,65,24M 53S
56,67,24M 34S
56,68,24M 34S
58,68,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,68,23M 16S
60,71,21M 15S
62,71,20M 51S
62,73,20M 18S
64,73,20M 8S
64,75,19M 53S
66,75,19M 41S
66,76,19M 25S
66,78,19M 1S
69,78,18M 45S
69,80,18M 8S
71,80,17M 58S
71,82,17M 0S
73,82,16M 51S
73,85,16M 38S
73,87,16M 8S
76,87,15M 24S
76,89,13M 44S
77,89,13M 21S
78,89,13M 21S
78,91,13M 2S
80,91,12M 50S
80,92,12M 13S
82,92,12M 0S
83,92,12M 0S
83,95,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,95,11M 38S
85,97,11M 20S
87,97,11M 5S
88,97,10M 7S
89,97,10M 7S
89,99,9M 45S
91,99,9M 33S
92,99,9M 33S
92,101,9M 21S
94,101,9M 0S
97,101,8M 31S
99,101,8M 0S
99,104,7M 45S
101,104,6M 32S
101,106,6M 18S
101,109,5M 56S
103,109,5M 45S
104,109,5M 45S
104,111,5M 11S
104,112,5M 11S
104,114,4M 43S
106,114,4M 22S
106,116,4M 4S
108,116,3M 46S
109,116,2M 56S
110,116,2M 56S
111,116,1M 12S
112,116,1M 12S
112,118,45S
112,120,17S
114,120,11S
114,121,10S
114,122,10S
End of 4th quarter,NA,0S
