Philadelphia,Indiana,time_rem
15-6,11-9,48M 0S
0,0,47M 36S
3,0,47M 5S
6,0,46M 33S
8,0,46M 12S
8,2,45M 56S
8,5,45M 22S
8,6,43M 35S
8,7,43M 35S
10,7,42M 45S
10,9,42M 21S
10,12,41M 52S
10,14,41M 30S
12,14,41M 9S
12,17,40M 33S
13,17,39M 12S
13,19,39M 1S
14,19,38M 37S
14,21,37M 56S
16,21,37M 34S
16,23,37M 23S
18,23,36M 51S
18,26,36M 32S
18,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,28,35M 48S
20,30,35M 27S
20,31,35M 2S
21,31,34M 47S
22,31,34M 47S
22,33,34M 1S
24,33,33M 46S
25,33,33M 46S
28,33,33M 35S
28,35,33M 15S
28,37,32M 42S
31,37,32M 31S
31,39,32M 18S
34,39,32M 7S
34,41,31M 35S
34,44,31M 21S
34,45,30M 41S
35,45,30M 17S
36,45,30M 17S
36,47,30M 5S
38,47,29M 38S
38,49,28M 58S
41,49,28M 45S
41,51,28M 18S
43,51,27M 21S
43,53,27M 0S
43,56,26M 26S
43,58,26M 2S
43,59,26M 2S
45,59,25M 37S
47,59,25M 2S
47,61,24M 52S
49,61,24M 43S
49,62,24M 38S
49,63,24M 38S
51,63,24M 26S
52,63,24M 26S
54,63,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,63,23M 46S
56,66,23M 20S
56,68,22M 53S
58,68,22M 38S
60,68,22M 16S
60,71,22M 3S
61,71,21M 54S
62,71,21M 54S
62,74,21M 14S
64,74,20M 59S
64,75,20M 45S
64,76,20M 45S
64,78,20M 29S
64,79,20M 29S
64,81,20M 3S
66,81,19M 33S
66,82,19M 24S
66,83,19M 24S
67,83,18M 27S
67,85,18M 9S
69,85,17M 31S
71,85,17M 8S
71,87,15M 44S
71,89,15M 16S
71,90,15M 16S
73,90,15M 0S
73,92,14M 31S
75,92,14M 17S
75,94,13M 55S
75,95,13M 55S
77,95,13M 44S
79,95,13M 16S
Jump ball: D. Howard vs. D. Sabonis (T. Maxey gains possession),NA,12M 50S
82,95,12M 39S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,97,10M 59S
84,97,10M 33S
86,97,10M 6S
86,100,9M 50S
86,102,9M 9S
88,102,8M 34S
88,104,8M 16S
90,104,7M 55S
92,104,7M 8S
94,104,6M 46S
96,104,6M 22S
96,106,5M 57S
98,106,5M 36S
99,106,5M 5S
102,106,4M 43S
104,106,3M 53S
105,106,3M 16S
107,106,2M 30S
109,106,1M 59S
109,107,1M 47S
109,108,1M 47S
111,108,1M 30S
112,108,1M 30S
113,108,59S
113,109,49S
113,110,22S
114,110,19S
115,110,19S
116,110,11S
117,110,11S
118,110,4S
119,110,4S
End of 4th quarter,NA,0S
