Phoenix,Washington,time_rem
7-4,3-8,48M 0S
0,2,47M 40S
2,2,47M 26S
2,4,47M 3S
4,4,46M 41S
4,6,46M 17S
4,8,45M 47S
6,8,44M 58S
6,10,44M 4S
8,10,42M 59S
8,11,42M 13S
8,12,42M 13S
10,12,41M 52S
10,13,41M 35S
10,14,39M 53S
10,15,39M 53S
10,16,39M 53S
Jump ball: D. Booker vs. M. Wagner (D. Ayton gains possession),NA,39M 31S
10,18,39M 14S
10,20,38M 52S
11,20,38M 21S
12,20,38M 21S
15,20,38M 0S
15,23,37M 21S
15,26,36M 38S
15,29,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,29,35M 46S
17,31,35M 28S
19,31,34M 29S
19,33,33M 32S
19,36,33M 4S
21,36,32M 42S
21,38,32M 14S
21,40,31M 42S
23,40,31M 31S
23,43,31M 14S
25,43,31M 0S
25,45,30M 44S
25,48,30M 13S
25,50,29M 40S
25,51,29M 40S
25,54,29M 33S
25,57,29M 5S
26,57,28M 38S
27,57,28M 38S
27,59,28M 16S
29,59,28M 8S
29,60,27M 52S
29,61,27M 52S
31,61,27M 18S
32,61,26M 50S
33,61,26M 50S
33,63,26M 37S
35,63,26M 22S
35,65,26M 5S
36,65,25M 48S
37,65,25M 48S
37,66,25M 34S
37,68,25M 25S
38,68,24M 59S
39,68,24M 59S
42,68,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,68,23M 41S
44,70,23M 17S
46,70,22M 34S
46,73,22M 16S
48,73,22M 4S
48,75,21M 37S
50,75,21M 16S
51,75,21M 16S
51,77,21M 2S
53,77,20M 42S
54,77,20M 42S
54,79,20M 20S
56,79,19M 52S
56,82,19M 37S
58,82,19M 15S
58,83,18M 57S
58,85,18M 54S
58,87,18M 21S
60,87,18M 12S
60,89,17M 54S
60,91,16M 50S
62,91,16M 29S
62,93,16M 4S
63,93,15M 59S
64,93,15M 59S
65,93,15M 59S
67,93,15M 0S
67,94,14M 57S
67,95,14M 57S
69,95,14M 49S
69,97,14M 36S
72,97,14M 22S
72,99,14M 11S
74,99,13M 26S
74,101,13M 10S
76,101,12M 43S
76,104,12M 33S
78,104,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,105,11M 41S
78,106,11M 41S
78,109,10M 56S
79,109,10M 42S
80,109,10M 42S
80,111,10M 2S
82,111,9M 44S
84,111,8M 53S
85,111,8M 21S
86,111,8M 21S
86,113,8M 2S
89,113,7M 52S
89,116,7M 12S
91,116,6M 37S
Jump ball: B. Beal vs. D. Booker (G. Mathews gains possession),NA,6M 12S
92,116,5M 57S
93,116,5M 57S
95,116,5M 28S
95,119,4M 40S
97,119,4M 22S
97,122,4M 8S
99,122,3M 25S
99,124,3M 5S
101,124,2M 10S
101,125,1M 59S
101,126,1M 59S
102,126,1M 52S
103,126,1M 20S
104,126,1M 20S
104,128,57S
105,128,39S
107,128,6S
End of 4th quarter,NA,0S
