Chicago,Atlanta,time_rem
26-38,35-30,48M 0S
0,0,47M 45S
2,0,47M 27S
3,0,47M 27S
5,0,46M 57S
5,1,46M 48S
5,2,46M 48S
7,2,46M 30S
7,5,46M 8S
7,7,45M 44S
10,7,44M 10S
10,8,43M 59S
10,10,43M 57S
10,11,43M 57S
10,14,43M 4S
12,14,42M 58S
12,16,42M 7S
14,16,41M 47S
14,17,41M 38S
14,18,41M 38S
16,18,41M 28S
17,18,41M 28S
17,20,41M 15S
17,21,40M 26S
17,22,40M 26S
20,22,40M 17S
20,23,40M 2S
20,24,40M 2S
22,24,39M 15S
24,24,38M 38S
25,24,38M 10S
26,24,38M 10S
26,26,37M 51S
26,28,37M 24S
26,31,36M 41S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,31,35M 53S
29,31,35M 15S
31,31,34M 51S
31,33,34M 25S
33,33,33M 37S
35,33,33M 22S
37,33,32M 51S
39,33,32M 29S
39,35,32M 6S
42,35,31M 47S
42,37,31M 33S
44,37,30M 56S
44,40,30M 42S
44,42,30M 8S
47,42,29M 50S
47,44,28M 58S
49,44,28M 39S
52,44,28M 15S
52,46,27M 44S
52,49,27M 15S
54,49,26M 43S
54,52,26M 25S
55,52,26M 4S
55,54,25M 44S
57,54,25M 28S
58,54,24M 29S
59,54,24M 29S
62,54,24M 23S
63,54,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,54,23M 42S
65,57,23M 31S
65,60,22M 59S
65,62,22M 33S
65,64,21M 42S
65,67,21M 16S
65,69,20M 32S
65,71,19M 58S
67,71,19M 41S
69,71,19M 25S
69,74,19M 1S
69,76,18M 30S
69,77,17M 29S
69,80,17M 0S
71,80,16M 1S
73,80,15M 26S
75,80,14M 1S
75,81,13M 14S
75,82,13M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,82,11M 12S
77,85,10M 10S
79,85,9M 50S
79,88,9M 33S
81,88,8M 49S
81,90,8M 27S
82,90,8M 9S
83,90,8M 9S
85,90,7M 42S
85,92,7M 18S
85,95,6M 44S
85,96,5M 51S
85,97,5M 51S
87,97,5M 39S
87,98,5M 25S
87,99,5M 25S
89,99,5M 11S
89,101,3M 47S
91,101,3M 33S
91,103,3M 7S
93,103,2M 50S
95,103,2M 25S
95,105,2M 2S
Jump ball: D. Theis vs. J. Collins (T. Young gains possession),NA,1M 14S
95,106,1M 3S
95,107,1M 3S
95,108,50S
97,108,43S
End of 4th quarter,NA,0S
