Detroit,Brooklyn,time_rem
10-28,26-13,48M 0S
0,2,47M 38S
0,4,47M 4S
3,4,46M 51S
3,6,46M 38S
6,6,46M 18S
9,6,45M 37S
9,8,45M 19S
9,9,44M 58S
9,10,44M 58S
11,10,44M 45S
11,13,43M 52S
11,15,43M 28S
11,17,42M 31S
13,17,41M 51S
13,19,41M 7S
14,19,40M 55S
16,19,40M 28S
16,21,39M 53S
18,21,38M 58S
18,22,38M 32S
18,24,38M 0S
20,24,37M 35S
20,26,37M 4S
21,26,36M 50S
22,26,36M 50S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,26,35M 45S
24,27,35M 25S
24,28,35M 25S
26,28,35M 1S
28,28,34M 4S
30,28,32M 36S
30,30,32M 18S
30,32,31M 49S
30,33,31M 49S
32,33,31M 28S
32,35,31M 13S
32,36,31M 13S
32,37,31M 13S
32,39,30M 33S
34,39,30M 13S
34,41,28M 55S
Jump ball: K. Irving vs. R. McGruder (J. Harden gains possession),NA,28M 20S
34,43,28M 17S
36,43,27M 47S
38,43,27M 2S
38,45,26M 42S
38,47,26M 19S
40,47,26M 2S
40,49,25M 45S
42,49,25M 22S
44,49,24M 59S
44,51,24M 38S
45,51,24M 9S
46,51,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,54,22M 48S
46,56,22M 14S
46,58,21M 41S
48,58,21M 17S
51,58,19M 18S
51,59,18M 53S
54,59,18M 43S
54,61,18M 18S
55,61,18M 8S
56,61,18M 8S
57,61,17M 14S
58,61,17M 14S
60,61,16M 31S
60,63,16M 9S
60,66,15M 42S
60,69,15M 13S
61,69,14M 54S
61,71,14M 33S
63,71,14M 12S
63,73,13M 58S
64,73,13M 31S
64,75,13M 17S
66,75,13M 10S
66,78,12M 47S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,78,11M 28S
71,78,10M 50S
73,78,10M 11S
73,79,9M 54S
73,80,9M 18S
73,81,9M 18S
74,81,9M 6S
75,81,9M 6S
75,84,8M 34S
77,84,8M 13S
77,86,7M 16S
79,86,6M 53S
79,88,6M 7S
81,88,5M 29S
81,90,5M 11S
84,90,5M 0S
87,90,4M 14S
89,90,3M 34S
91,90,2M 59S
91,91,2M 8S
91,92,2M 8S
92,92,1M 47S
92,94,1M 37S
92,96,1M 4S
93,96,43S
93,98,19S
95,98,15S
95,99,13S
95,100,13S
End of 4th quarter,NA,0S
