Memphis,Atlanta,time_rem
26-23,27-25,48M 0S
0,0,47M 37S
0,3,47M 4S
0,5,46M 42S
2,5,46M 4S
2,7,45M 22S
2,9,44M 47S
4,9,44M 33S
6,9,44M 13S
6,11,44M 1S
6,12,44M 1S
6,14,43M 31S
6,17,43M 7S
8,17,42M 51S
11,17,42M 15S
11,20,41M 57S
11,22,41M 36S
11,25,40M 43S
14,25,39M 39S
14,27,39M 21S
17,27,39M 5S
19,27,38M 44S
20,27,38M 44S
20,29,38M 31S
22,29,38M 18S
22,31,38M 1S
24,31,37M 22S
24,34,36M 54S
27,34,36M 30S
28,34,36M 0S
29,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,34,35M 19S
31,34,35M 19S
34,34,35M 1S
36,34,33M 58S
36,37,33M 40S
36,39,33M 22S
39,39,32M 56S
39,42,32M 42S
39,43,32M 42S
41,43,32M 28S
41,45,32M 17S
44,45,32M 4S
44,48,31M 48S
46,48,31M 28S
47,48,31M 5S
48,48,31M 5S
49,48,30M 35S
50,48,30M 35S
50,50,30M 18S
50,52,29M 51S
52,52,29M 35S
54,52,29M 1S
54,54,28M 50S
57,54,28M 36S
57,56,27M 56S
57,57,27M 56S
59,57,27M 41S
59,59,27M 1S
60,59,26M 23S
61,59,26M 23S
63,59,25M 29S
63,61,25M 12S
63,63,24M 50S
65,63,24M 34S
65,64,24M 29S
67,64,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,64,23M 11S
71,64,22M 23S
72,64,22M 23S
72,67,22M 12S
74,67,21M 48S
76,67,21M 29S
76,69,20M 47S
78,69,20M 33S
79,69,20M 33S
79,70,19M 50S
79,71,19M 50S
81,71,19M 27S
81,73,19M 19S
83,73,19M 6S
86,73,18M 41S
86,75,18M 10S
89,75,18M 1S
92,75,17M 24S
94,75,17M 8S
96,75,16M 52S
96,77,16M 40S
96,78,16M 38S
98,78,16M 18S
98,79,15M 51S
100,79,15M 28S
100,81,15M 17S
102,81,14M 58S
103,81,14M 58S
103,83,14M 43S
106,83,14M 23S
109,83,14M 0S
109,85,13M 39S
110,85,13M 11S
110,87,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
110,89,11M 36S
110,91,10M 39S
111,91,10M 21S
114,91,9M 48S
116,91,9M 27S
116,93,9M 10S
116,94,9M 10S
118,94,8M 58S
118,96,8M 42S
118,99,8M 6S
121,99,6M 21S
121,101,6M 3S
123,101,5M 40S
123,103,5M 30S
123,105,5M 7S
123,106,5M 7S
126,106,4M 39S
129,106,4M 8S
129,108,3M 31S
129,109,3M 31S
130,109,3M 11S
131,109,3M 11S
131,110,1M 50S
131,111,1M 50S
131,113,1M 26S
End of 4th quarter,NA,0S
