Utah,Houston,time_rem
44-15,15-44,48M 0S
2,0,47M 34S
4,0,46M 1S
4,3,45M 49S
6,3,45M 35S
9,3,45M 14S
9,4,44M 50S
9,5,44M 50S
12,5,44M 33S
14,5,44M 8S
14,8,43M 50S
14,10,43M 25S
16,10,42M 54S
19,10,42M 19S
22,10,41M 45S
22,13,41M 16S
22,15,40M 46S
22,17,40M 30S
24,17,40M 10S
24,19,39M 54S
26,19,39M 20S
28,19,38M 56S
28,21,38M 14S
28,24,37M 28S
28,26,37M 2S
28,27,37M 2S
31,27,36M 30S
34,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,27,35M 36S
39,27,34M 41S
42,27,33M 45S
42,30,32M 56S
44,30,32M 30S
44,32,32M 20S
47,32,31M 38S
49,32,30M 51S
49,34,29M 52S
49,36,28M 22S
49,39,27M 53S
49,41,27M 19S
50,41,26M 58S
53,41,26M 17S
53,43,26M 7S
54,43,25M 34S
55,43,25M 34S
58,43,25M 7S
59,43,24M 44S
61,43,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,43,23M 38S
63,45,23M 17S
63,46,23M 17S
66,46,22M 48S
66,48,22M 41S
67,48,21M 9S
68,48,21M 9S
70,48,20M 36S
72,48,20M 22S
75,48,19M 37S
78,48,18M 4S
79,48,17M 39S
80,48,17M 39S
80,50,17M 28S
80,51,17M 28S
80,53,17M 16S
82,53,16M 42S
82,55,16M 27S
83,55,16M 13S
84,55,16M 13S
84,57,15M 39S
84,59,15M 7S
84,60,15M 7S
86,60,14M 55S
86,61,14M 37S
88,61,13M 54S
88,63,12M 57S
91,63,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,63,11M 21S
94,65,11M 2S
96,65,10M 46S
98,65,9M 57S
98,67,9M 2S
99,67,8M 37S
99,70,8M 22S
102,70,8M 7S
102,71,7M 54S
102,72,7M 54S
104,72,7M 14S
105,72,6M 59S
106,72,6M 59S
108,72,5M 24S
108,74,4M 35S
108,77,4M 3S
108,80,3M 36S
108,82,2M 59S
108,84,2M 28S
110,84,1M 46S
110,86,1M 30S
112,86,1M 14S
112,89,55S
End of 4th quarter,NA,0S
