Milwaukee,Brooklyn,time_rem
4-3,3-4,48M 0S
0,0,47M 41S
3,0,47M 6S
6,0,46M 43S
6,2,46M 25S
6,5,46M 2S
6,6,45M 22S
6,7,45M 22S
6,8,45M 22S
6,11,44M 15S
9,11,43M 40S
11,11,43M 4S
11,12,42M 42S
11,13,42M 42S
11,15,42M 0S
13,15,41M 51S
15,15,41M 24S
15,16,41M 8S
15,17,41M 8S
15,19,40M 27S
17,19,40M 19S
18,19,40M 2S
20,19,39M 51S
20,20,39M 23S
22,20,39M 7S
23,20,39M 7S
23,22,38M 45S
23,24,38M 13S
23,26,37M 41S
25,26,36M 58S
25,28,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,31,35M 33S
25,34,34M 59S
28,34,34M 37S
30,34,33M 21S
30,36,33M 9S
33,36,32M 54S
33,38,31M 57S
35,38,31M 39S
35,40,31M 3S
38,40,30M 52S
Jump ball: J. Harden vs. G. Antetokounmpo (K. Durant gains possession),NA,30M 17S
38,41,30M 6S
38,43,28M 38S
38,46,27M 34S
40,46,27M 9S
40,48,26M 56S
41,48,26M 50S
41,50,25M 59S
41,51,25M 59S
43,51,25M 40S
43,53,25M 15S
44,53,25M 1S
45,53,25M 1S
47,53,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,53,23M 25S
52,53,22M 52S
54,53,22M 16S
54,55,21M 57S
57,55,21M 41S
59,55,21M 12S
59,56,20M 58S
59,57,20M 58S
59,60,20M 28S
62,60,20M 16S
65,60,19M 47S
65,63,19M 38S
66,63,19M 13S
67,63,19M 13S
67,66,18M 38S
67,68,18M 5S
70,68,17M 9S
72,68,16M 30S
72,71,16M 12S
72,72,15M 56S
72,73,15M 56S
74,73,15M 43S
74,75,15M 18S
74,76,14M 51S
74,77,14M 51S
74,78,14M 18S
74,79,14M 18S
77,79,13M 29S
79,79,12M 47S
81,79,12M 9S
82,79,12M 9S
82,81,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,83,11M 23S
84,83,11M 5S
84,86,10M 45S
86,86,9M 36S
86,89,9M 24S
88,89,9M 10S
88,91,8M 1S
90,91,7M 29S
90,93,6M 35S
91,93,5M 59S
91,95,5M 39S
91,96,5M 39S
94,96,5M 23S
94,97,5M 7S
94,98,5M 7S
96,98,4M 25S
96,101,4M 0S
99,101,3M 31S
101,101,2M 45S
104,101,2M 32S
104,103,2M 10S
106,103,1M 54S
106,105,1M 45S
107,105,1M 30S
108,105,1M 5S
109,105,1M 5S
109,107,42S
109,109,1S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: B. Lopez vs. K. Durant (J. Harden gains possession),NA,5M 0S
109,111,4M 38S
Jump ball: B. Lopez vs. K. Durant (B. Brown gains possession),NA,1M 30S
111,111,1M 12S
113,111,40S
114,111,0S
115,111,0S
End of 1st overtime,NA,0S
