Detroit,Oklahoma City,time_rem
15-35,20-30,48M 0S
0,0,47M 42S
0,2,47M 16S
0,3,47M 4S
0,4,47M 4S
3,4,46M 54S
3,6,46M 12S
5,6,45M 50S
7,6,45M 25S
8,6,45M 9S
9,6,45M 9S
9,7,44M 59S
9,8,44M 59S
12,8,44M 51S
14,8,44M 5S
17,8,43M 6S
19,8,42M 40S
21,8,42M 7S
22,8,42M 7S
23,8,41M 51S
24,8,41M 51S
26,8,41M 18S
26,11,41M 7S
26,13,40M 42S
26,15,40M 11S
28,15,38M 41S
28,17,37M 24S
30,17,37M 8S
Jump ball: J. Robinson vs. C. Joseph (T. Jerome gains possession),NA,36M 26S
30,19,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,19,35M 13S
35,19,34M 54S
37,19,34M 22S
40,19,34M 2S
42,19,33M 22S
42,22,33M 3S
42,24,32M 40S
42,25,32M 3S
42,27,31M 54S
42,29,31M 24S
42,31,31M 1S
43,31,30M 54S
44,31,30M 54S
44,32,30M 36S
44,33,30M 36S
46,33,29M 36S
46,36,29M 18S
48,36,29M 1S
48,38,28M 49S
50,38,27M 29S
50,41,27M 11S
50,43,26M 27S
52,43,26M 10S
52,45,25M 56S
54,45,25M 38S
56,45,25M 8S
58,45,24M 50S
58,47,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,49,23M 7S
58,51,22M 37S
61,51,22M 21S
64,51,22M 2S
66,51,21M 42S
66,53,21M 23S
67,53,20M 44S
68,53,20M 44S
68,55,20M 9S
68,57,19M 53S
68,58,19M 47S
68,59,19M 47S
69,59,19M 33S
70,59,19M 33S
72,59,19M 17S
73,59,19M 17S
75,59,18M 44S
75,61,18M 35S
77,61,18M 23S
79,61,17M 43S
79,63,17M 15S
79,65,16M 34S
80,65,16M 0S
81,65,16M 0S
81,67,15M 40S
83,67,15M 23S
84,67,15M 3S
85,67,15M 3S
85,68,14M 49S
85,69,14M 49S
88,69,14M 33S
88,71,14M 14S
88,72,14M 14S
90,72,13M 59S
90,75,13M 28S
93,75,13M 3S
93,77,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,77,11M 20S
96,78,10M 50S
98,78,10M 28S
100,78,10M 8S
100,80,9M 50S
100,82,9M 16S
102,82,8M 48S
102,84,8M 34S
104,84,8M 12S
106,84,7M 54S
106,86,7M 41S
106,87,7M 41S
108,87,7M 30S
110,87,7M 10S
110,88,6M 56S
110,89,6M 56S
112,89,6M 43S
Jump ball: T. Cook vs. T. Maledon (F. Jackson gains possession),NA,6M 26S
115,89,6M 19S
115,90,6M 0S
117,90,5M 46S
117,92,5M 33S
118,92,5M 19S
119,92,5M 19S
119,94,4M 56S
119,95,4M 41S
119,96,4M 41S
119,97,4M 22S
119,98,4M 22S
121,98,4M 8S
121,100,3M 53S
123,100,3M 42S
124,100,3M 19S
124,102,2M 51S
124,104,2M 25S
127,104,2M 8S
127,106,1M 56S
130,106,1M 23S
131,106,1M 7S
132,106,1M 7S
132,108,13S
End of 4th quarter,NA,0S
